onset	duration	type	sample
2100	n/a      	23	1075
14174	n/a      	3	7257
15699	n/a      	13	8038
21584	n/a      	23	11051
34590	n/a      	3	17710
36443	n/a      	13	18659
37461	n/a      	26	19180
49186	n/a      	6	25183
50875	n/a      	16	26048
51906	n/a      	23	26576
66049	n/a      	3	33817
67178	n/a      	13	34395
68205	n/a      	25	34921
81045	n/a      	5	41495
82281	n/a      	15	42128
83301	n/a      	23	42650
98693	n/a      	3	50531
99498	n/a      	13	50943
100533	n/a      	24	51473
112488	n/a      	4	57594
115496	n/a      	14	59134
116529	n/a      	26	59663
129102	n/a      	6	66100
131154	n/a      	16	67151
134990	n/a      	25	69115
147551	n/a      	5	75546
148313	n/a      	15	75936
149338	n/a      	25	76461
162430	n/a      	5	83164
163295	n/a      	15	83607
166301	n/a      	24	85146
177926	n/a      	4	91098
179463	n/a      	14	91885
180496	n/a      	23	92414
195223	n/a      	3	99954
196424	n/a      	13	100569
197445	n/a      	26	101092
208967	n/a      	6	106991
210881	n/a      	2	107971
211906	n/a      	25	108496
225965	n/a      	5	115694
226951	n/a      	15	116199
227971	n/a      	26	116721
243547	n/a      	6	124696
246225	n/a      	16	126067
247252	n/a      	24	126593
259494	n/a      	4	132861
260822	n/a      	14	133541
268121	n/a      	25	137278
282311	n/a      	5	144543
283078	n/a      	15	144936
284102	n/a      	26	145460
296623	n/a      	6	151871
297799	n/a      	16	152473
298830	n/a      	24	153001
311887	n/a      	4	159686
313021	n/a      	14	160267
314043	n/a      	23	160790
327633	n/a      	3	167748
329975	n/a      	2	168947
334973	n/a      	25	171506
348686	n/a      	5	178527
349619	n/a      	15	179005
352492	n/a      	23	180476
364049	n/a      	3	186393
366781	n/a      	2	187792
367805	n/a      	24	188316
379545	n/a      	4	194327
381035	n/a      	14	195090
382066	n/a      	26	195618
393891	n/a      	6	201672
395621	n/a      	16	202558
396645	n/a      	23	203082
407818	n/a      	3	208803
409053	n/a      	13	209435
410074	n/a      	24	209958
424467	n/a      	4	217327
425434	n/a      	14	217822
426453	n/a      	25	218344
440313	n/a      	5	225440
441514	n/a      	15	226055
442533	n/a      	26	226577
455342	n/a      	6	233135
456355	n/a      	16	233654
460463	n/a      	24	235757
470904	n/a      	4	241103
471922	n/a      	14	241624
472941	n/a      	23	242146
482197	n/a      	3	246885
483275	n/a      	13	247437
488006	n/a      	26	249859
500762	n/a      	6	256390
501715	n/a      	16	256878
502732	n/a      	25	257399
515691	n/a      	5	264034
516842	n/a      	15	264623
517863	n/a      	24	265146
530637	n/a      	4	271686
531473	n/a      	14	272114
532492	n/a      	23	272636
544982	n/a      	3	279031
548986	n/a      	2	281081
550006	n/a      	25	281603
563396	n/a      	5	288459
564168	n/a      	15	288854
565203	n/a      	23	289384
579010	n/a      	3	296453
581473	n/a      	13	297714
588037	n/a      	26	301075
601063	n/a      	6	307744
602457	n/a      	16	308458
603484	n/a      	23	308984
615041	n/a      	3	314901
616736	n/a      	2	315769
617764	n/a      	25	316295
634072	n/a      	5	324645
634719	n/a      	15	324976
635746	n/a      	26	325502
646850	n/a      	6	331187
647729	n/a      	16	331637
654117	n/a      	23	334908
668789	n/a      	3	342420
669951	n/a      	13	343015
670979	n/a      	25	343541
683219	n/a      	5	349808
686197	n/a      	15	351333
687225	n/a      	24	351859
701516	n/a      	4	359176
702254	n/a      	2	359554
703289	n/a      	26	360084
714844	n/a      	6	366000
717037	n/a      	16	367123
718066	n/a      	26	367650
730123	n/a      	6	373823
731373	n/a      	16	374463
734395	n/a      	23	376010
747789	n/a      	3	382868
750334	n/a      	13	384171
751359	n/a      	26	384696
764102	n/a      	6	391220
765549	n/a      	16	391961
766572	n/a      	24	392485
779465	n/a      	4	399086
781404	n/a      	14	400079
785322	n/a      	23	402085
799180	n/a      	3	409180
802365	n/a      	13	410811
803387	n/a      	23	411334
818746	n/a      	3	419198
822309	n/a      	13	421022
823336	n/a      	25	421548
836963	n/a      	5	428525
837627	n/a      	15	428865
838650	n/a      	24	429389
847604	n/a      	4	433973
848779	n/a      	14	434575
849809	n/a      	25	435102
860982	n/a      	5	440823
861818	n/a      	15	441251
864287	n/a      	25	442515
875410	n/a      	5	448210
876307	n/a      	15	448669
877330	n/a      	26	449193
890256	n/a      	6	455811
891787	n/a      	16	456595
892809	n/a      	23	457118
905951	n/a      	3	463847
906555	n/a      	13	464156
915148	n/a      	25	468556
927805	n/a      	5	475036
929170	n/a      	15	475735
930193	n/a      	26	476259
943033	n/a      	6	482833
945338	n/a      	16	484013
946371	n/a      	23	484542
959563	n/a      	3	491296
960170	n/a      	13	491607
961201	n/a      	24	492135
976209	n/a      	4	499819
977473	n/a      	14	500466
982000	n/a      	2	502784
982000	n/a      	2	502784
1236664	n/a      	23	633172
1247820	n/a      	3	638884
1248762	n/a      	13	639366
1249791	n/a      	24	639893
1265752	n/a      	4	648065
1266514	n/a      	2	648455
1267537	n/a      	26	648979
1279512	n/a      	6	655110
1280105	n/a      	2	655414
1284887	n/a      	25	657862
1298211	n/a      	5	664684
1298855	n/a      	15	665014
1299883	n/a      	26	665540
1313807	n/a      	6	672669
1314920	n/a      	16	673239
1315945	n/a      	23	673764
1326734	n/a      	23	679288
1327760	n/a      	3	679813
1328791	n/a      	2	680341
1341863	n/a      	4	687034
1343174	n/a      	14	687705
1348908	n/a      	23	690641
1362766	n/a      	3	697736
1363561	n/a      	13	698143
1364588	n/a      	25	698669
1376926	n/a      	5	704986
1377701	n/a      	15	705383
1378732	n/a      	26	705911
1392639	n/a      	6	713031
1393832	n/a      	16	713642
1394861	n/a      	24	714169
1407969	n/a      	4	720880
1408535	n/a      	2	721170
1409559	n/a      	24	721694
1422863	n/a      	4	728506
1423639	n/a      	2	728903
1424670	n/a      	25	729431
1437543	n/a      	5	736022
1439102	n/a      	15	736820
1441916	n/a      	25	738261
1453623	n/a      	5	744255
1454461	n/a      	15	744684
1455494	n/a      	26	745213
1467568	n/a      	6	751395
1468693	n/a      	16	751971
1469721	n/a      	23	752497
1482980	n/a      	3	759286
1483982	n/a      	13	759799
1486836	n/a      	25	761260
1500879	n/a      	5	768450
1502205	n/a      	2	769129
1503232	n/a      	26	769655
1516559	n/a      	6	776478
1517678	n/a      	16	777051
1518695	n/a      	23	777572
1530570	n/a      	3	783652
1533805	n/a      	2	785308
1534826	n/a      	24	785831
1549236	n/a      	4	793209
1551795	n/a      	14	794519
