onset	duration	type	sample
2691	n/a      	23	1378
14693	n/a      	3	7523
15477	n/a      	13	7924
22053	n/a      	23	11291
35061	n/a      	3	17951
35908	n/a      	13	18385
36932	n/a      	26	18909
48654	n/a      	6	24911
49396	n/a      	16	25291
50426	n/a      	23	25818
64568	n/a      	3	33059
65363	n/a      	13	33466
66391	n/a      	25	33992
79246	n/a      	5	40574
79963	n/a      	15	40941
80984	n/a      	23	41464
96377	n/a      	3	49345
97123	n/a      	13	49727
98150	n/a      	24	50253
110105	n/a      	4	56374
110705	n/a      	14	56681
111729	n/a      	26	57205
124301	n/a      	6	63642
124852	n/a      	16	63924
129623	n/a      	25	66367
142182	n/a      	999	72797
143730	n/a      	2	73590
144754	n/a      	25	74114
157846	n/a      	5	80817
158408	n/a      	15	81105
161467	n/a      	24	82671
173090	n/a      	4	88622
173777	n/a      	14	88974
174813	n/a      	23	89504
189555	n/a      	3	97052
190521	n/a      	13	97547
191543	n/a      	26	98070
203066	n/a      	999	103970
204625	n/a      	2	104768
205654	n/a      	25	105295
219713	n/a      	5	112493
220367	n/a      	15	112828
221400	n/a      	26	113357
236977	n/a      	6	121332
237762	n/a      	16	121734
238779	n/a      	24	122255
251021	n/a      	4	128523
251607	n/a      	14	128823
255195	n/a      	25	130660
269387	n/a      	5	137926
269895	n/a      	15	138186
270924	n/a      	26	138713
283449	n/a      	999	145126
284240	n/a      	2	145531
285270	n/a      	24	146058
298328	n/a      	4	152744
298918	n/a      	14	153046
299949	n/a      	23	153574
313523	n/a      	3	160524
313951	n/a      	13	160743
319271	n/a      	25	163467
332898	n/a      	5	170444
333654	n/a      	15	170831
337322	n/a      	23	172709
348879	n/a      	3	178626
349631	n/a      	13	179011
350650	n/a      	24	179533
362391	n/a      	4	185544
362918	n/a      	14	185814
363945	n/a      	26	186340
375768	n/a      	999	192393
376623	n/a      	2	192831
377654	n/a      	23	193359
388828	n/a      	3	199080
389646	n/a      	13	199499
390666	n/a      	24	200021
405059	n/a      	4	207390
405613	n/a      	14	207674
406645	n/a      	25	208202
420488	n/a      	5	215290
421084	n/a      	15	215595
422109	n/a      	26	216120
434900	n/a      	999	222669
435510	n/a      	2	222981
438223	n/a      	24	224370
448662	n/a      	999	229715
449438	n/a      	2	230112
450463	n/a      	23	230637
459721	n/a      	3	235377
460438	n/a      	13	235744
464660	n/a      	26	237906
477418	n/a      	6	244438
478285	n/a      	16	244882
479305	n/a      	25	245404
492180	n/a      	5	251996
492883	n/a      	15	252356
493918	n/a      	24	252886
506693	n/a      	4	259427
508348	n/a      	14	260274
509381	n/a      	23	260803
521871	n/a      	3	267198
522740	n/a      	13	267643
