onset	duration	type	sample
2291	n/a      	23	1173
14291	n/a      	999	7317
16219	n/a      	2	8304
21250	n/a      	23	10880
34256	n/a      	3	17539
35402	n/a      	13	18126
36426	n/a      	26	18650
48150	n/a      	6	24653
49139	n/a      	16	25159
50154	n/a      	23	25679
64297	n/a      	3	32920
65010	n/a      	13	33285
66037	n/a      	25	33811
78893	n/a      	5	40393
80232	n/a      	15	41079
81266	n/a      	23	41608
96658	n/a      	3	49489
97986	n/a      	13	50169
99014	n/a      	24	50695
110971	n/a      	4	56817
112168	n/a      	14	57430
113191	n/a      	26	57954
125766	n/a      	999	64392
126488	n/a      	2	64762
129471	n/a      	25	66289
142014	n/a      	5	72711
142688	n/a      	15	73056
143715	n/a      	25	73582
156809	n/a      	5	80286
157975	n/a      	15	80883
160162	n/a      	24	82003
171787	n/a      	4	87955
172727	n/a      	14	88436
173758	n/a      	23	88964
188484	n/a      	3	96504
189344	n/a      	13	96944
190371	n/a      	26	97470
201895	n/a      	999	103370
202400	n/a      	2	103629
203432	n/a      	25	104157
217492	n/a      	5	111356
219758	n/a      	15	112516
220779	n/a      	26	113039
236357	n/a      	6	121015
236871	n/a      	16	121278
237893	n/a      	24	121801
250135	n/a      	4	128069
251014	n/a      	14	128519
254709	n/a      	25	130411
268900	n/a      	5	137677
269373	n/a      	15	137919
270404	n/a      	26	138447
282928	n/a      	6	144859
284398	n/a      	16	145612
285416	n/a      	24	146133
298475	n/a      	4	152819
299164	n/a      	14	153172
300195	n/a      	23	153700
313771	n/a      	3	160651
314197	n/a      	13	160869
319285	n/a      	25	163474
332922	n/a      	5	170456
333340	n/a      	15	170670
335877	n/a      	23	171969
347436	n/a      	3	177887
347885	n/a      	13	178117
348904	n/a      	24	178639
360629	n/a      	4	184642
361139	n/a      	14	184903
362166	n/a      	26	185429
373990	n/a      	6	191483
374717	n/a      	16	191855
375742	n/a      	23	192380
386934	n/a      	3	198110
387516	n/a      	13	198408
388537	n/a      	24	198931
402930	n/a      	4	206300
403674	n/a      	14	206681
404701	n/a      	25	207207
418561	n/a      	5	214303
418994	n/a      	15	214525
420014	n/a      	26	215047
432822	n/a      	6	221605
433611	n/a      	16	222009
437428	n/a      	24	223963
447867	n/a      	4	229308
448498	n/a      	14	229631
449521	n/a      	23	230155
458777	n/a      	3	234894
459322	n/a      	13	235173
463234	n/a      	26	237176
475990	n/a      	6	243707
476674	n/a      	16	244057
477693	n/a      	25	244579
490570	n/a      	5	251172
490945	n/a      	15	251364
491973	n/a      	24	251890
504730	n/a      	4	258422
505480	n/a      	14	258806
506502	n/a      	23	259329
518994	n/a      	3	265725
519529	n/a      	13	265999
520547	n/a      	25	266520
533939	n/a      	5	273377
534488	n/a      	15	273658
535510	n/a      	23	274181
549318	n/a      	3	281251
549873	n/a      	13	281535
553807	n/a      	26	283549
566816	n/a      	6	290210
567545	n/a      	16	290583
568568	n/a      	23	291107
580127	n/a      	3	297025
581178	n/a      	13	297563
582199	n/a      	25	298086
598508	n/a      	999	306436
600297	n/a      	2	307352
601313	n/a      	26	307872
612438	n/a      	6	313568
613057	n/a      	16	313885
617363	n/a      	23	316090
631881	n/a      	3	323523
632461	n/a      	13	323820
633486	n/a      	25	324345
645727	n/a      	5	330612
646100	n/a      	15	330803
647129	n/a      	24	331330
661422	n/a      	4	338648
662563	n/a      	14	339232
663594	n/a      	26	339760
675150	n/a      	6	345677
676084	n/a      	16	346155
677104	n/a      	26	346677
689162	n/a      	6	352851
689859	n/a      	16	353208
693602	n/a      	23	355124
706992	n/a      	3	361980
707508	n/a      	13	362244
708531	n/a      	26	362768
721271	n/a      	999	369291
721707	n/a      	2	369514
722727	n/a      	24	370036
735617	n/a      	4	376636
736266	n/a      	14	376968
739773	n/a      	23	378764
753633	n/a      	3	385860
754275	n/a      	13	386189
755303	n/a      	23	386715
770662	n/a      	3	394579
771322	n/a      	13	394917
772350	n/a      	25	395443
785992	n/a      	5	402428
786945	n/a      	15	402916
787979	n/a      	24	403445
796951	n/a      	4	408039
797873	n/a      	14	408511
798904	n/a      	25	409039
810078	n/a      	5	414760
810928	n/a      	15	415195
814135	n/a      	25	416837
825258	n/a      	5	422532
825961	n/a      	15	422892
826996	n/a      	26	423422
839904	n/a      	6	430031
840754	n/a      	16	430466
841771	n/a      	23	430987
854898	n/a      	3	437708
855521	n/a      	13	438027
858904	n/a      	25	439759
871563	n/a      	5	446240
872119	n/a      	15	446525
873150	n/a      	26	447053
885990	n/a      	999	453627
886457	n/a      	2	453866
887477	n/a      	23	454388
900670	n/a      	3	461143
901096	n/a      	13	461361
902123	n/a      	24	461887
917051	n/a      	4	469530
918943	n/a      	14	470499
923904	n/a      	23	473039
935930	n/a      	3	479196
936359	n/a      	13	479416
937385	n/a      	26	479941
951293	n/a      	6	487062
952023	n/a      	16	487436
953045	n/a      	25	487959
964639	n/a      	5	493895
965334	n/a      	15	494251
966359	n/a      	24	494776
978148	n/a      	4	500812
979693	n/a      	14	501603
982639	n/a      	23	503111
995580	n/a      	3	509737
996014	n/a      	13	509959
997033	n/a      	26	510481
1010008	n/a      	6	517124
1010951	n/a      	16	517607
1011979	n/a      	23	518133
1025322	n/a      	3	524965
1025789	n/a      	13	525204
1026809	n/a      	25	525726
1040434	n/a      	999	532702
1041223	n/a      	2	533106
1042254	n/a      	23	533634
1055746	n/a      	3	540542
1056150	n/a      	13	540749
1059084	n/a      	25	542251
1071793	n/a      	5	548758
1072236	n/a      	15	548985
1073264	n/a      	26	549511
1086172	n/a      	6	556120
1086846	n/a      	16	556465
1087875	n/a      	23	556992
1101033	n/a      	3	563729
1101621	n/a      	13	564030
1102639	n/a      	24	564551
1117064	n/a      	4	571937
1117691	n/a      	14	572258
1118717	n/a      	25	572783
1131025	n/a      	5	579085
1131490	n/a      	15	579323
1133930	n/a      	26	580572
1147672	n/a      	6	587608
1148596	n/a      	16	588081
1149625	n/a      	23	588608
1160984	n/a      	999	594424
1161732	n/a      	2	594807
1162754	n/a      	24	595330
1175361	n/a      	4	601785
1176123	n/a      	14	602175
1177148	n/a      	25	602700
1188973	n/a      	5	608754
1189410	n/a      	15	608978
1190443	n/a      	26	609507
1203152	n/a      	6	616014
1203986	n/a      	16	616441
1207623	n/a      	24	618303
1220482	n/a      	4	624887
1221098	n/a      	14	625202
1226922	n/a      	23	628184
1237955	n/a      	3	633833
1238633	n/a      	13	634180
1239658	n/a      	25	634705
1251967	n/a      	5	641007
1252393	n/a      	15	641225
1253420	n/a      	26	641751
1265078	n/a      	6	647720
1265785	n/a      	16	648082
1266813	n/a      	23	648608
1281725	n/a      	3	656243
1282121	n/a      	13	656446
1283145	n/a      	24	656970
1294303	n/a      	4	662683
1294752	n/a      	14	662913
1295773	n/a      	25	663436
1308012	n/a      	5	669702
1308352	n/a      	15	669876
1310584	n/a      	24	671019
1322141	n/a      	4	676936
1322703	n/a      	14	677224
1326197	n/a      	26	679013
1339672	n/a      	6	685912
1340320	n/a      	16	686244
1341342	n/a      	26	686767
1355119	n/a      	6	693821
1355848	n/a      	16	694194
1356871	n/a      	24	694718
1370164	n/a      	4	701524
1370967	n/a      	14	701935
1371986	n/a      	23	702457
1386127	n/a      	3	709697
1386543	n/a      	13	709910
1389551	n/a      	25	711450
1401590	n/a      	5	717614
1401990	n/a      	15	717819
1403012	n/a      	26	718342
1417420	n/a      	999	725719
1418111	n/a      	2	726073
1419139	n/a      	23	726599
1431982	n/a      	3	733175
1433551	n/a      	13	733978
1434570	n/a      	25	734500
1447561	n/a      	5	741151
1447949	n/a      	15	741350
1448982	n/a      	26	741879
1463176	n/a      	6	749146
1463895	n/a      	16	749514
1466729	n/a      	23	750965
1479771	n/a      	3	757643
1480141	n/a      	13	757832
1481158	n/a      	23	758353
1492865	n/a      	3	764347
1493469	n/a      	13	764656
1494486	n/a      	25	765177
1506777	n/a      	999	771470
1507365	n/a      	2	771771
1508398	n/a      	24	772300
1521457	n/a      	4	778986
1522035	n/a      	14	779282
1526125	n/a      	23	781376
1537277	n/a      	3	787086
1537691	n/a      	13	787298
1538715	n/a      	24	787822
1554676	n/a      	4	795994
1555387	n/a      	14	796358
1556412	n/a      	26	796883
1568404	n/a      	6	803023
1569563	n/a      	16	803616
1572691	n/a      	25	805218
1586035	n/a      	5	812050
1586402	n/a      	15	812238
1587422	n/a      	26	812760
1601348	n/a      	6	819890
1601891	n/a      	16	820168
1602918	n/a      	23	820694
1613709	n/a      	3	826219
1614082	n/a      	13	826410
1615111	n/a      	24	826937
1628203	n/a      	4	833640
1628713	n/a      	14	833901
1632676	n/a      	23	835930
1646535	n/a      	3	843026
1647330	n/a      	13	843433
1648355	n/a      	25	843958
1660697	n/a      	5	850277
1661072	n/a      	15	850469
1662102	n/a      	26	850996
1676010	n/a      	6	858117
1676705	n/a      	16	858473
1677729	n/a      	24	858997
1690838	n/a      	4	865709
1691600	n/a      	14	866099
1692627	n/a      	23	866625
1705934	n/a      	3	873438
1706449	n/a      	13	873702
1707471	n/a      	25	874225
1720346	n/a      	5	880817
1720727	n/a      	15	881012
1723734	n/a      	25	882552
1735441	n/a      	5	888546
1735902	n/a      	15	888782
1736930	n/a      	26	889308
1748986	n/a      	6	895481
1749537	n/a      	16	895763
1750557	n/a      	23	896285
1763816	n/a      	3	903074
1764320	n/a      	13	903332
1768355	n/a      	25	905398
1782414	n/a      	5	912596
1782887	n/a      	15	912838
1783918	n/a      	26	913366
1797244	n/a      	6	920189
1797832	n/a      	16	920490
1798863	n/a      	23	921018
1810738	n/a      	3	927098
1811264	n/a      	13	927367
1812293	n/a      	24	927894
1826701	n/a      	4	935271
1827166	n/a      	14	935509
