onset	duration	type	sample
2979	n/a      	23	1525
14967	n/a      	3	7663
16844	n/a      	13	8624
24514	n/a      	23	12551
37535	n/a      	3	19218
39314	n/a      	13	20129
40342	n/a      	26	20655
52064	n/a      	6	26657
54211	n/a      	16	27756
55238	n/a      	23	28282
69361	n/a      	3	35513
71578	n/a      	13	36648
72604	n/a      	25	37173
85475	n/a      	5	43763
87928	n/a      	15	45019
88949	n/a      	23	45542
104342	n/a      	3	53423
106090	n/a      	13	54318
107115	n/a      	24	54843
119070	n/a      	4	60964
121057	n/a      	14	61981
122078	n/a      	26	62504
134650	n/a      	999	68941
136240	n/a      	2	69755
141959	n/a      	25	72683
154516	n/a      	5	79112
158111	n/a      	15	80953
159141	n/a      	25	81480
172230	n/a      	5	88182
174238	n/a      	15	89210
179758	n/a      	24	92036
191379	n/a      	4	97986
193246	n/a      	14	98942
194270	n/a      	23	99466
209012	n/a      	3	107014
211600	n/a      	13	108339
212617	n/a      	26	108860
224141	n/a      	6	114760
226160	n/a      	16	115794
227178	n/a      	25	116315
241238	n/a      	5	123514
243965	n/a      	15	124910
244994	n/a      	26	125437
260570	n/a      	6	133412
262822	n/a      	16	134565
263842	n/a      	24	135087
276082	n/a      	4	141354
277725	n/a      	14	142195
282125	n/a      	25	144448
296316	n/a      	5	151714
298598	n/a      	15	152882
299623	n/a      	26	153407
312213	n/a      	6	159853
314254	n/a      	16	160898
315283	n/a      	24	161425
328344	n/a      	4	168112
330156	n/a      	14	169040
331182	n/a      	23	169565
344756	n/a      	3	176515
345670	n/a      	13	176983
350691	n/a      	25	179554
364299	n/a      	5	186521
365322	n/a      	15	187045
370826	n/a      	23	189863
382381	n/a      	3	195779
383234	n/a      	13	196216
384252	n/a      	24	196737
395992	n/a      	4	202748
396873	n/a      	14	203199
397898	n/a      	26	203724
409721	n/a      	6	209777
411131	n/a      	16	210499
412158	n/a      	23	211025
423332	n/a      	3	216746
424338	n/a      	13	217261
425371	n/a      	24	217790
439762	n/a      	4	225158
441145	n/a      	14	225866
442168	n/a      	25	226390
456025	n/a      	999	233485
457314	n/a      	2	234145
458348	n/a      	26	234674
471154	n/a      	999	241231
473545	n/a      	2	242455
480434	n/a      	24	245982
490871	n/a      	4	251326
492680	n/a      	14	252252
493711	n/a      	23	252780
502965	n/a      	3	257518
504641	n/a      	13	258376
509289	n/a      	26	260756
522047	n/a      	6	267288
523896	n/a      	16	268235
524918	n/a      	25	268758
537775	n/a      	5	275341
539631	n/a      	15	276291
540666	n/a      	24	276821
553439	n/a      	4	283361
554311	n/a      	14	283807
555344	n/a      	23	284336
567834	n/a      	3	290731
570297	n/a      	13	291992
571324	n/a      	25	292518
584715	n/a      	5	299374
586535	n/a      	15	300306
587555	n/a      	23	300828
601361	n/a      	3	307897
602160	n/a      	13	308306
606002	n/a      	26	310273
619010	n/a      	6	316933
620791	n/a      	16	317845
621814	n/a      	23	318369
633371	n/a      	3	324286
636143	n/a      	13	325705
637160	n/a      	25	326226
653471	n/a      	5	334577
655949	n/a      	15	335846
656979	n/a      	26	336373
668100	n/a      	6	342067
669838	n/a      	16	342957
674500	n/a      	23	345344
689029	n/a      	3	352783
690494	n/a      	13	353533
691518	n/a      	25	354057
703758	n/a      	5	360324
704844	n/a      	15	360880
705863	n/a      	24	361402
720156	n/a      	4	368720
720820	n/a      	14	369060
721844	n/a      	26	369584
733400	n/a      	6	375501
734004	n/a      	16	375810
735037	n/a      	26	376339
747094	n/a      	6	382512
748012	n/a      	16	382982
754654	n/a      	23	386383
768027	n/a      	3	393230
768611	n/a      	13	393529
769635	n/a      	26	394053
782375	n/a      	6	400576
783541	n/a      	16	401173
784563	n/a      	24	401696
797453	n/a      	4	408296
798379	n/a      	14	408770
801994	n/a      	23	410621
815836	n/a      	3	417708
817076	n/a      	13	418343
818105	n/a      	23	418870
833467	n/a      	3	426735
834131	n/a      	13	427075
835154	n/a      	25	427599
848795	n/a      	5	434583
849338	n/a      	15	434861
850365	n/a      	24	435387
859338	n/a      	4	439981
860369	n/a      	14	440509
861393	n/a      	25	441033
872566	n/a      	5	446754
873514	n/a      	15	447239
877723	n/a      	25	449394
888846	n/a      	5	455089
889816	n/a      	15	455586
890850	n/a      	26	456115
903758	n/a      	6	462724
904777	n/a      	16	463246
905795	n/a      	23	463767
918938	n/a      	3	470496
919635	n/a      	13	470853
924545	n/a      	25	473367
937203	n/a      	5	479848
937992	n/a      	15	480252
939023	n/a      	26	480780
951863	n/a      	999	487354
953273	n/a      	2	488076
954303	n/a      	23	488603
967494	n/a      	3	495357
968480	n/a      	13	495862
969500	n/a      	24	496384
984424	n/a      	4	504025
985504	n/a      	14	504578
1134734	n/a      	23	580984
1146793	n/a      	3	587158
1147814	n/a      	13	587681
1148832	n/a      	26	588202
1162740	n/a      	6	595323
1163814	n/a      	16	595873
1164844	n/a      	25	596400
1176436	n/a      	5	602335
1177365	n/a      	15	602811
1178391	n/a      	24	603336
1190180	n/a      	4	609372
1190900	n/a      	14	609741
1194553	n/a      	23	611611
1207494	n/a      	3	618237
1208893	n/a      	13	618953
1209914	n/a      	26	619476
1222873	n/a      	6	626111
1223900	n/a      	16	626637
1224926	n/a      	23	627162
1238270	n/a      	3	633994
1238869	n/a      	13	634301
1239889	n/a      	25	634823
1253516	n/a      	5	641800
1254084	n/a      	15	642091
1255102	n/a      	23	642612
1268594	n/a      	3	649520
