onset	duration	type	sample
1242	n/a      	23	636
13244	n/a      	3	6781
14771	n/a      	13	7563
20570	n/a      	23	10532
33578	n/a      	3	17192
34570	n/a      	13	17700
35600	n/a      	26	18227
47322	n/a      	6	24229
48434	n/a      	16	24798
49461	n/a      	23	25324
63586	n/a      	3	32556
64266	n/a      	13	32904
65291	n/a      	25	33429
78148	n/a      	5	40012
79297	n/a      	15	40600
80320	n/a      	23	41124
95713	n/a      	3	49005
96650	n/a      	13	49485
97668	n/a      	24	50006
109623	n/a      	4	56127
110256	n/a      	14	56451
111279	n/a      	26	56975
123852	n/a      	6	63412
124625	n/a      	16	63808
132180	n/a      	25	67676
144736	n/a      	5	74105
145736	n/a      	15	74617
146760	n/a      	25	75141
159850	n/a      	5	81843
160512	n/a      	15	82182
166809	n/a      	24	85406
178432	n/a      	4	91357
179246	n/a      	14	91774
180270	n/a      	23	92298
194994	n/a      	3	99837
195553	n/a      	13	100123
196584	n/a      	26	100651
208105	n/a      	6	106550
208752	n/a      	16	106881
209777	n/a      	25	107406
223834	n/a      	5	114603
224887	n/a      	15	115142
225908	n/a      	26	115665
241482	n/a      	6	123639
242176	n/a      	16	123994
243205	n/a      	24	124521
255445	n/a      	4	130788
256471	n/a      	14	131313
264541	n/a      	25	135445
278730	n/a      	5	142710
279301	n/a      	15	143002
280338	n/a      	26	143533
292859	n/a      	6	149944
293559	n/a      	16	150302
294582	n/a      	24	150826
307639	n/a      	4	157511
308396	n/a      	14	157899
309428	n/a      	23	158427
323000	n/a      	3	165376
323598	n/a      	13	165682
329078	n/a      	25	168488
342707	n/a      	5	175466
343715	n/a      	15	175982
348949	n/a      	23	178662
360504	n/a      	3	184578
361164	n/a      	13	184916
362193	n/a      	24	185443
373932	n/a      	4	191453
374650	n/a      	14	191821
375672	n/a      	26	192344
387494	n/a      	6	198397
388180	n/a      	16	198748
389197	n/a      	23	199269
400389	n/a      	3	204999
401012	n/a      	13	205318
402043	n/a      	24	205846
416434	n/a      	4	213214
417066	n/a      	14	213538
418090	n/a      	25	214062
431947	n/a      	5	221157
432635	n/a      	15	221509
433670	n/a      	26	222039
446477	n/a      	6	228596
447283	n/a      	16	229009
453584	n/a      	24	232235
464023	n/a      	4	237580
464746	n/a      	14	237950
465779	n/a      	23	238479
475033	n/a      	3	243217
475986	n/a      	13	243705
482176	n/a      	26	246874
494934	n/a      	6	253406
495516	n/a      	16	253704
496537	n/a      	25	254227
509395	n/a      	5	260810
509922	n/a      	15	261080
510949	n/a      	24	261606
523723	n/a      	4	268146
524729	n/a      	14	268661
525762	n/a      	23	269190
538252	n/a      	3	275585
538754	n/a      	13	275842
539773	n/a      	25	276364
553164	n/a      	5	283220
553912	n/a      	15	283603
554938	n/a      	23	284128
568744	n/a      	3	291197
569338	n/a      	13	291501
574617	n/a      	26	294204
587625	n/a      	6	300864
588242	n/a      	16	301180
589264	n/a      	23	301703
600820	n/a      	3	307620
601354	n/a      	13	307893
602375	n/a      	25	308416
618686	n/a      	5	316767
619775	n/a      	15	317325
620807	n/a      	26	317853
631930	n/a      	6	323548
632545	n/a      	16	323863
638438	n/a      	23	326880
652969	n/a      	3	334320
653520	n/a      	13	334602
654541	n/a      	25	335125
666764	n/a      	5	341383
667549	n/a      	15	341785
668586	n/a      	24	342316
682877	n/a      	999	349633
683510	n/a      	2	349957
684529	n/a      	26	350479
696088	n/a      	6	356397
696799	n/a      	16	356761
697824	n/a      	26	357286
709881	n/a      	6	363459
710559	n/a      	16	363806
716891	n/a      	23	367048
730281	n/a      	3	373904
730814	n/a      	13	374177
731838	n/a      	26	374701
744578	n/a      	999	381224
745334	n/a      	2	381611
746367	n/a      	24	382140
759256	n/a      	4	388739
759813	n/a      	14	389024
764197	n/a      	23	391269
778055	n/a      	3	398364
778717	n/a      	13	398703
779742	n/a      	23	399228
795104	n/a      	3	407093
795660	n/a      	13	407378
796691	n/a      	25	407906
810332	n/a      	5	414890
811027	n/a      	15	415246
812055	n/a      	24	415772
821023	n/a      	4	420364
821730	n/a      	14	420726
822762	n/a      	25	421254
833951	n/a      	5	426983
834570	n/a      	15	427300
839561	n/a      	25	429855
850682	n/a      	5	435549
851299	n/a      	15	435865
852320	n/a      	26	436388
865244	n/a      	6	443005
865787	n/a      	16	443283
866814	n/a      	23	443809
879939	n/a      	3	450529
880516	n/a      	13	450824
885748	n/a      	25	453503
898404	n/a      	5	459983
899018	n/a      	15	460297
900043	n/a      	26	460822
912883	n/a      	6	467396
913500	n/a      	16	467712
914521	n/a      	23	468235
927711	n/a      	999	474988
928348	n/a      	2	475314
929367	n/a      	24	475836
944309	n/a      	4	483486
944865	n/a      	14	483771
951641	n/a      	23	487240
963656	n/a      	3	493392
964178	n/a      	13	493659
965195	n/a      	26	494180
979104	n/a      	6	501301
979705	n/a      	16	501609
980725	n/a      	25	502131
992314	n/a      	5	508065
992902	n/a      	15	508366
993936	n/a      	24	508895
1005725	n/a      	4	514931
1006223	n/a      	14	515186
1014404	n/a      	23	519375
1027326	n/a      	3	525991
1027961	n/a      	13	526316
1028982	n/a      	26	526839
1041939	n/a      	6	533473
1042576	n/a      	16	533799
1043611	n/a      	23	534329
1056951	n/a      	3	541159
1057648	n/a      	13	541516
1058676	n/a      	25	542042
1072297	n/a      	5	549016
1072742	n/a      	15	549244
1073770	n/a      	23	549770
1087258	n/a      	3	556676
1087799	n/a      	13	556953
1092066	n/a      	25	559138
1104773	n/a      	5	565644
1105309	n/a      	15	565918
1106328	n/a      	26	566440
1119236	n/a      	6	573049
1119734	n/a      	16	573304
1120756	n/a      	23	573827
1133898	n/a      	3	580556
1134367	n/a      	13	580796
1135385	n/a      	24	581317
1149828	n/a      	4	588712
1150277	n/a      	14	588942
1151299	n/a      	25	589465
1163605	n/a      	5	595766
1164092	n/a      	15	596015
1168764	n/a      	26	598407
1182504	n/a      	6	605442
1183045	n/a      	16	605719
1184074	n/a      	23	606246
1195432	n/a      	999	612061
1195910	n/a      	2	612306
1196938	n/a      	24	612832
1209543	n/a      	4	619286
1210141	n/a      	14	619592
1211164	n/a      	25	620116
1223004	n/a      	5	626178
1223627	n/a      	15	626497
1224660	n/a      	26	627026
1237367	n/a      	6	633532
1237965	n/a      	16	633838
1243475	n/a      	24	636659
1256332	n/a      	4	643242
1256844	n/a      	14	643504
1266723	n/a      	23	648562
1277795	n/a      	3	654231
1278395	n/a      	13	654538
1279416	n/a      	25	655061
1291723	n/a      	5	661362
1292225	n/a      	15	661619
