onset	duration	type	sample
2043	n/a      	25	1046
13232	n/a      	5	6775
13979	n/a      	15	7157
15006	n/a      	24	7683
29396	n/a      	4	15051
32186	n/a      	14	16479
33221	n/a      	25	17009
46861	n/a      	5	23993
48961	n/a      	15	25068
51934	n/a      	23	26590
64426	n/a      	3	32986
65971	n/a      	13	33777
66996	n/a      	24	34302
79889	n/a      	4	40903
81553	n/a      	14	41755
82576	n/a      	26	42279
94400	n/a      	6	48333
99434	n/a      	16	50910
100455	n/a      	23	51433
113717	n/a      	3	58223
114762	n/a      	13	58758
120809	n/a      	25	61854
133465	n/a      	5	68334
134439	n/a      	15	68833
135471	n/a      	24	69361
147027	n/a      	4	75278
148391	n/a      	14	75976
149416	n/a      	26	76501
163324	n/a      	6	83622
164434	n/a      	16	84190
165461	n/a      	23	84716
178836	n/a      	3	91564
179920	n/a      	13	92119
180943	n/a      	24	92643
194000	n/a      	4	99328
194895	n/a      	14	99786
199508	n/a      	26	102148
211580	n/a      	6	108329
212648	n/a      	16	108876
213668	n/a      	23	109398
224658	n/a      	999	115025
225736	n/a      	2	115577
226764	n/a      	25	116103
239088	n/a      	5	122413
240277	n/a      	15	123022
241309	n/a      	26	123550
254783	n/a      	6	130449
255887	n/a      	16	131014
256920	n/a      	23	131543
267711	n/a      	3	137068
268695	n/a      	13	137572
269715	n/a      	25	138094
283340	n/a      	5	145070
284350	n/a      	15	145587
285379	n/a      	24	146114
294350	n/a      	4	150707
295637	n/a      	14	151366
296672	n/a      	26	151896
308729	n/a      	6	158069
310039	n/a      	16	158740
321980	n/a      	23	164854
333998	n/a      	3	171007
335357	n/a      	13	171703
336391	n/a      	26	172232
349096	n/a      	6	178737
350293	n/a      	16	179350
351318	n/a      	25	179875
363623	n/a      	5	186175
364707	n/a      	15	186730
365730	n/a      	24	187254
377969	n/a      	4	193520
379012	n/a      	14	194054
388484	n/a      	23	198904
402055	n/a      	3	205852
403285	n/a      	13	206482
404314	n/a      	26	207009
418502	n/a      	6	214273
419885	n/a      	16	214981
420910	n/a      	24	215506
432863	n/a      	4	221626
433842	n/a      	14	222127
434873	n/a      	23	222655
450262	n/a      	3	230534
451420	n/a      	13	231127
452453	n/a      	26	231656
466191	n/a      	6	238690
467547	n/a      	16	239384
472281	n/a      	25	241808
486475	n/a      	5	249075
487594	n/a      	15	249648
488613	n/a      	23	250170
503355	n/a      	3	257718
504643	n/a      	13	258377
511100	n/a      	23	261683
522271	n/a      	3	267403
523459	n/a      	13	268011
524479	n/a      	26	268533
540053	n/a      	6	276507
542250	n/a      	16	277632
543275	n/a      	24	278157
556049	n/a      	4	284697
557201	n/a      	14	285287
558223	n/a      	25	285810
569811	n/a      	5	291743
570768	n/a      	15	292233
571801	n/a      	24	292762
583422	n/a      	4	298712
584793	n/a      	14	299414
585830	n/a      	25	299945
598918	n/a      	5	306646
600512	n/a      	15	307462
606379	n/a      	26	310466
620152	n/a      	6	317518
621824	n/a      	16	318374
622857	n/a      	23	318903
635865	n/a      	999	325563
638383	n/a      	2	326852
639406	n/a      	25	327376
653463	n/a      	5	334573
654512	n/a      	15	335110
658711	n/a      	23	337260
672883	n/a      	999	344516
673654	n/a      	2	344911
674686	n/a      	25	345439
686410	n/a      	999	351442
687494	n/a      	2	351997
688516	n/a      	25	352520
701389	n/a      	5	359111
702148	n/a      	15	359500
708984	n/a      	23	363000
723891	n/a      	3	370632
725006	n/a      	13	371203
726031	n/a      	26	371728
738020	n/a      	999	377866
738869	n/a      	2	378301
739893	n/a      	24	378825
754316	n/a      	4	386210
755963	n/a      	14	387053
761227	n/a      	26	389748
774133	n/a      	6	396356
775773	n/a      	16	397196
776803	n/a      	24	397723
789896	n/a      	4	404427
791066	n/a      	14	405026
792102	n/a      	23	405556
805225	n/a      	3	412275
806205	n/a      	13	412777
807230	n/a      	23	413302
821371	n/a      	3	420542
822332	n/a      	13	421034
828832	n/a      	25	424362
841705	n/a      	5	430953
842811	n/a      	15	431519
843844	n/a      	24	432048
857135	n/a      	4	438853
858043	n/a      	14	439318
859074	n/a      	25	439846
872414	n/a      	5	446676
873281	n/a      	15	447120
874303	n/a      	26	447643
887043	n/a      	6	454166
887947	n/a      	16	454629
900795	n/a      	25	461207
911963	n/a      	5	466925
913217	n/a      	15	467567
914256	n/a      	23	468099
926258	n/a      	3	474244
926842	n/a      	13	474543
927867	n/a      	26	475068
939535	n/a      	6	481042
940891	n/a      	16	481736
941930	n/a      	24	482268
955031	n/a      	4	488976
956088	n/a      	14	489517
957127	n/a      	26	490049
971529	n/a      	6	497423
972723	n/a      	16	498034
973756	n/a      	25	498563
986307	n/a      	5	504989
987217	n/a      	15	505455
991586	n/a      	23	507692
1003174	n/a      	3	513625
1004641	n/a      	13	514376
1008680	n/a      	25	516444
1021404	n/a      	5	522959
1023063	n/a      	15	523808
1024094	n/a      	26	524336
1036834	n/a      	6	530859
1038496	n/a      	16	531710
1039521	n/a      	24	532235
1052131	n/a      	4	538691
1053662	n/a      	14	539475
1054686	n/a      	23	539999
1066242	n/a      	3	545916
1067801	n/a      	13	546714
1068830	n/a      	26	547241
1081805	n/a      	6	553884
1083279	n/a      	16	554639
1084309	n/a      	26	555166
1097150	n/a      	6	561741
1098055	n/a      	16	562204
1104859	n/a      	24	565688
1115299	n/a      	4	571033
1116453	n/a      	14	571624
1117490	n/a      	25	572155
1129711	n/a      	5	578412
1130469	n/a      	15	578800
1131500	n/a      	23	579328
1144990	n/a      	3	586235
1145975	n/a      	13	586739
1146998	n/a      	26	587263
1159803	n/a      	6	593819
1160766	n/a      	16	594312
1161791	n/a      	25	594837
1174098	n/a      	5	601138
1174988	n/a      	15	601594
1179438	n/a      	23	603872
1192379	n/a      	3	610498
1193357	n/a      	13	610999
1194385	n/a      	24	611525
1206107	n/a      	4	617527
1207275	n/a      	14	618125
1211549	n/a      	26	620313
1225457	n/a      	6	627434
1226758	n/a      	16	628100
1227777	n/a      	25	628622
1239617	n/a      	5	634684
1240980	n/a      	15	635382
1242006	n/a      	23	635907
1255332	n/a      	999	642730
1256107	n/a      	2	643127
1257137	n/a      	23	643654
1270311	n/a      	3	650399
1271549	n/a      	13	651033
1272582	n/a      	25	651562
1284623	n/a      	5	657727
1285818	n/a      	15	658339
1286844	n/a      	24	658864
1299902	n/a      	4	665550
1300875	n/a      	14	666048
1306242	n/a      	24	668796
1322244	n/a      	4	676989
1323184	n/a      	14	677470
1324217	n/a      	24	677999
1337074	n/a      	4	684582
1338080	n/a      	14	685097
1339111	n/a      	26	685625
1350635	n/a      	6	691525
1351793	n/a      	16	692118
1356525	n/a      	23	694541
1365781	n/a      	3	699280
1366721	n/a      	13	699761
1367752	n/a      	25	700289
1384063	n/a      	5	708640
1385855	n/a      	15	709558
1386885	n/a      	24	710085
1401826	n/a      	4	717735
1403230	n/a      	14	718454
1404266	n/a      	26	718984
1416840	n/a      	6	725422
1417896	n/a      	16	725963
1418928	n/a      	25	726491
1432318	n/a      	5	733347
