onset	duration	type	sample
1691	n/a      	23	866
13721	n/a      	3	7025
16412	n/a      	13	8403
28457	n/a      	23	14570
41461	n/a      	3	21228
42908	n/a      	13	21969
43936	n/a      	26	22495
55656	n/a      	6	28496
56908	n/a      	16	29137
57930	n/a      	23	29660
72068	n/a      	3	36899
72947	n/a      	13	37349
73979	n/a      	25	37877
86848	n/a      	5	44466
88594	n/a      	15	45360
89625	n/a      	23	45888
105012	n/a      	999	53766
106275	n/a      	2	54413
107307	n/a      	24	54941
119258	n/a      	4	61060
121273	n/a      	14	62092
122301	n/a      	26	62618
134871	n/a      	6	69054
136883	n/a      	16	70084
146785	n/a      	25	75154
159342	n/a      	5	81583
160217	n/a      	15	82031
161248	n/a      	25	82559
174336	n/a      	5	89260
175105	n/a      	15	89654
178275	n/a      	24	91277
189900	n/a      	999	97229
191689	n/a      	2	98145
192719	n/a      	23	98672
207465	n/a      	999	106222
209754	n/a      	2	107394
210785	n/a      	26	107922
222293	n/a      	6	113814
224961	n/a      	16	115180
225980	n/a      	25	115702
240041	n/a      	5	122901
240775	n/a      	15	123277
241795	n/a      	26	123799
257371	n/a      	6	131774
258617	n/a      	16	132412
259641	n/a      	24	132936
271885	n/a      	4	139205
273184	n/a      	14	139870
283568	n/a      	25	145187
297756	n/a      	5	152451
298975	n/a      	15	153075
299998	n/a      	26	153599
312518	n/a      	6	160009
313344	n/a      	16	160432
314375	n/a      	24	160960
327430	n/a      	4	167644
328359	n/a      	14	168120
329389	n/a      	23	168647
342961	n/a      	3	175596
344271	n/a      	13	176267
349855	n/a      	25	179126
363465	n/a      	5	186094
364277	n/a      	15	186510
371609	n/a      	23	190264
383164	n/a      	3	196180
383982	n/a      	13	196599
385004	n/a      	24	197122
396742	n/a      	4	203132
398172	n/a      	14	203864
399199	n/a      	26	204390
411020	n/a      	6	210442
412422	n/a      	16	211160
413441	n/a      	23	211682
424631	n/a      	3	217411
425301	n/a      	13	217754
426320	n/a      	24	218276
440711	n/a      	4	225644
441469	n/a      	14	226032
442500	n/a      	25	226560
456357	n/a      	5	233655
457908	n/a      	15	234449
458932	n/a      	26	234973
471736	n/a      	6	241529
472934	n/a      	16	242142
479430	n/a      	24	245468
489869	n/a      	4	250813
491619	n/a      	14	251709
492643	n/a      	23	252233
501895	n/a      	3	256970
502789	n/a      	13	257428
512777	n/a      	26	262542
525531	n/a      	6	269072
526645	n/a      	16	269642
527672	n/a      	25	270168
540527	n/a      	5	276750
541402	n/a      	15	277198
542436	n/a      	24	277727
555205	n/a      	4	284265
557291	n/a      	14	285333
558314	n/a      	23	285857
570803	n/a      	3	292251
571482	n/a      	13	292599
572510	n/a      	25	293125
585898	n/a      	5	299980
586961	n/a      	15	300524
587990	n/a      	23	301051
601795	n/a      	3	308119
602891	n/a      	13	308680
611307	n/a      	26	312989
624330	n/a      	6	319657
625123	n/a      	16	320063
626152	n/a      	23	320590
637707	n/a      	3	326506
638307	n/a      	13	326813
639332	n/a      	25	327338
655639	n/a      	999	335687
657643	n/a      	2	336713
658662	n/a      	26	337235
669768	n/a      	6	342921
670738	n/a      	16	343418
674912	n/a      	23	345555
689428	n/a      	3	352987
690080	n/a      	13	353321
691102	n/a      	25	353844
703322	n/a      	5	360101
704047	n/a      	15	360472
705080	n/a      	24	361001
719369	n/a      	999	368317
719943	n/a      	2	368611
720975	n/a      	26	369139
732529	n/a      	6	375055
733217	n/a      	16	375407
734234	n/a      	26	375928
746291	n/a      	6	382101
746896	n/a      	16	382411
752232	n/a      	23	385143
765623	n/a      	3	391999
767512	n/a      	13	392966
768531	n/a      	26	393488
781270	n/a      	6	400010
782088	n/a      	16	400429
783107	n/a      	24	400951
796000	n/a      	4	407552
797070	n/a      	14	408100
804043	n/a      	23	411670
817900	n/a      	3	418765
818598	n/a      	13	419122
819623	n/a      	23	419647
834980	n/a      	3	427510
836094	n/a      	13	428080
837121	n/a      	25	428606
850762	n/a      	5	435590
851348	n/a      	15	435890
852383	n/a      	24	436420
861354	n/a      	4	441013
861965	n/a      	14	441326
862992	n/a      	25	441852
874180	n/a      	5	447580
874717	n/a      	15	447855
879723	n/a      	25	450418
890844	n/a      	5	456112
891348	n/a      	15	456370
892383	n/a      	26	456900
905289	n/a      	6	463508
907781	n/a      	16	464784
908811	n/a      	23	465311
921953	n/a      	3	472040
922590	n/a      	13	472366
928846	n/a      	25	475569
941502	n/a      	5	482049
942164	n/a      	15	482388
943191	n/a      	26	482914
956031	n/a      	6	489488
956701	n/a      	16	489831
957719	n/a      	23	490352
970910	n/a      	3	497106
971396	n/a      	13	497355
972416	n/a      	24	497877
987340	n/a      	4	505518
988322	n/a      	14	506021
993188	n/a      	23	508512
1005223	n/a      	3	514674
1005756	n/a      	13	514947
1006777	n/a      	26	515470
1020686	n/a      	6	522591
1021379	n/a      	16	522946
1022406	n/a      	25	523472
1033996	n/a      	5	529406
1035145	n/a      	15	529994
1036170	n/a      	24	530519
1047957	n/a      	4	536554
