onset	duration	type	sample
2006	n/a      	25	1027
13178	n/a      	5	6747
14189	n/a      	15	7265
15225	n/a      	24	7795
29625	n/a      	4	15168
31588	n/a      	14	16173
32621	n/a      	25	16702
46256	n/a      	5	23683
46709	n/a      	15	23915
50828	n/a      	23	26024
63318	n/a      	3	32419
64902	n/a      	13	33230
65924	n/a      	24	33753
78814	n/a      	4	40353
79867	n/a      	14	40892
80887	n/a      	26	41414
92711	n/a      	999	47468
94037	n/a      	2	48147
95063	n/a      	23	48672
108324	n/a      	3	55462
109156	n/a      	13	55888
115066	n/a      	25	58914
127723	n/a      	5	65394
128668	n/a      	15	65878
129695	n/a      	24	66404
141250	n/a      	4	72320
142307	n/a      	14	72861
143340	n/a      	26	73390
157246	n/a      	6	80510
158732	n/a      	16	81271
159752	n/a      	23	81793
173145	n/a      	3	88650
174859	n/a      	13	89528
175883	n/a      	24	90052
188939	n/a      	4	96737
191715	n/a      	14	98158
198318	n/a      	26	101539
210391	n/a      	6	107720
213027	n/a      	16	109070
214047	n/a      	23	109592
225035	n/a      	3	115218
225756	n/a      	13	115587
226777	n/a      	25	116110
239115	n/a      	5	122427
241426	n/a      	15	123610
242455	n/a      	26	124137
255928	n/a      	6	131035
256883	n/a      	16	131524
257900	n/a      	23	132045
268707	n/a      	3	137578
269506	n/a      	13	137987
270529	n/a      	25	138511
284152	n/a      	5	145486
285217	n/a      	15	146031
286242	n/a      	24	146556
295211	n/a      	4	151148
296080	n/a      	14	151593
297117	n/a      	26	152124
309172	n/a      	6	158296
310258	n/a      	16	158852
318424	n/a      	23	163033
330434	n/a      	3	169182
331225	n/a      	13	169587
332256	n/a      	26	170115
344963	n/a      	6	176621
346041	n/a      	16	177173
347066	n/a      	25	177698
359375	n/a      	5	184000
360047	n/a      	15	184344
361078	n/a      	24	184872
373318	n/a      	999	191139
374992	n/a      	2	191996
381580	n/a      	23	195369
395170	n/a      	3	202327
396119	n/a      	13	202813
397145	n/a      	26	203338
411334	n/a      	999	210603
415191	n/a      	2	212578
416227	n/a      	24	213108
428182	n/a      	4	219229
429143	n/a      	14	219721
430170	n/a      	23	220247
445563	n/a      	3	228128
446414	n/a      	13	228564
447436	n/a      	26	229087
461176	n/a      	6	236122
462104	n/a      	16	236597
469971	n/a      	25	240625
484160	n/a      	5	247890
485420	n/a      	15	248535
486451	n/a      	23	249063
501176	n/a      	3	256602
502510	n/a      	13	257285
506498	n/a      	23	259327
517689	n/a      	3	265057
518678	n/a      	13	265563
519709	n/a      	26	266091
535287	n/a      	6	274067
536277	n/a      	16	274574
537307	n/a      	24	275101
550082	n/a      	4	281642
551355	n/a      	14	282294
552387	n/a      	25	282822
563977	n/a      	5	288756
564803	n/a      	15	289179
565832	n/a      	24	289706
577455	n/a      	4	295657
578459	n/a      	14	296171
579494	n/a      	25	296701
592584	n/a      	5	303403
593539	n/a      	15	303892
598076	n/a      	26	306215
611850	n/a      	6	313267
612740	n/a      	16	313723
613770	n/a      	23	314250
626779	n/a      	3	320911
627293	n/a      	13	321174
628316	n/a      	25	321698
642375	n/a      	5	328896
642922	n/a      	15	329176
646730	n/a      	23	331126
660912	n/a      	3	338387
661521	n/a      	13	338699
662551	n/a      	25	339226
674273	n/a      	999	345228
674713	n/a      	2	345453
675744	n/a      	25	345981
688602	n/a      	5	352564
689367	n/a      	15	352956
693225	n/a      	23	354931
708135	n/a      	3	362565
708824	n/a      	13	362918
709855	n/a      	26	363446
721846	n/a      	6	369585
722553	n/a      	16	369947
723582	n/a      	24	370474
738025	n/a      	4	377869
738848	n/a      	14	378290
743283	n/a      	26	380561
756191	n/a      	6	387170
760785	n/a      	16	389522
761814	n/a      	24	390049
774889	n/a      	4	396743
775926	n/a      	14	397274
776961	n/a      	23	397804
790102	n/a      	3	404532
790775	n/a      	13	404877
791807	n/a      	23	405405
805949	n/a      	3	412646
808000	n/a      	13	413696
813143	n/a      	25	416329
826016	n/a      	5	422920
827822	n/a      	15	423845
828855	n/a      	24	424374
842145	n/a      	4	431178
843014	n/a      	14	431623
844035	n/a      	25	432146
857375	n/a      	5	438976
858197	n/a      	15	439397
859230	n/a      	26	439926
871986	n/a      	6	446457
872758	n/a      	16	446852
880029	n/a      	25	450575
891219	n/a      	5	456304
892148	n/a      	15	456780
893176	n/a      	23	457306
905180	n/a      	3	463452
906102	n/a      	13	463924
907137	n/a      	26	464454
918793	n/a      	6	470422
919693	n/a      	16	470883
920713	n/a      	24	471405
933822	n/a      	4	478117
935172	n/a      	14	478808
936195	n/a      	26	479332
950602	n/a      	6	486708
951445	n/a      	16	487140
952473	n/a      	25	487666
965031	n/a      	5	494096
965699	n/a      	15	494438
970172	n/a      	23	496728
981777	n/a      	3	502670
982363	n/a      	13	502970
986701	n/a      	25	505191
999408	n/a      	5	511697
1000291	n/a      	15	512149
1001314	n/a      	26	512673
1014055	n/a      	6	519196
1014859	n/a      	16	519608
1015891	n/a      	24	520136
1028500	n/a      	4	526592
1031193	n/a      	14	527971
1032223	n/a      	23	528498
1043779	n/a      	999	534415
1044844	n/a      	2	534960
1045865	n/a      	26	535483
1058824	n/a      	6	542118
1059939	n/a      	16	542689
1060961	n/a      	26	543212
1073787	n/a      	6	549779
1074578	n/a      	16	550184
