onset	duration	type	sample
1340	n/a      	23	686
13330	n/a      	999	6825
14020	n/a      	2	7178
20240	n/a      	23	10363
33246	n/a      	3	17022
34996	n/a      	13	17918
36018	n/a      	26	18441
47742	n/a      	6	24444
49371	n/a      	16	25278
50396	n/a      	23	25803
64539	n/a      	3	33044
65707	n/a      	13	33642
66729	n/a      	25	34165
79586	n/a      	999	40748
81242	n/a      	2	41596
82273	n/a      	23	42124
97666	n/a      	3	50005
98467	n/a      	13	50415
99488	n/a      	24	50938
111445	n/a      	4	57060
112080	n/a      	14	57385
113117	n/a      	26	57916
125689	n/a      	999	64353
126146	n/a      	2	64587
129512	n/a      	25	66310
142053	n/a      	5	72731
143256	n/a      	15	73347
144291	n/a      	25	73877
157383	n/a      	5	80580
157768	n/a      	15	80777
160955	n/a      	24	82409
172662	n/a      	4	88403
173313	n/a      	14	88736
174332	n/a      	23	89258
189076	n/a      	3	96807
189785	n/a      	13	97170
190813	n/a      	26	97696
202336	n/a      	6	103596
202953	n/a      	16	103912
203973	n/a      	25	104434
218100	n/a      	5	111667
218680	n/a      	15	111964
219703	n/a      	26	112488
235281	n/a      	6	120464
236023	n/a      	16	120844
237049	n/a      	24	121369
249291	n/a      	4	127637
250006	n/a      	14	128003
253699	n/a      	25	129894
267891	n/a      	5	137160
268303	n/a      	15	137371
269328	n/a      	26	137896
281852	n/a      	6	144308
282871	n/a      	16	144830
283889	n/a      	24	145351
296947	n/a      	4	152037
297639	n/a      	14	152391
298670	n/a      	23	152919
312244	n/a      	3	159869
312768	n/a      	13	160137
318902	n/a      	25	163278
332508	n/a      	5	170244
333293	n/a      	15	170646
336465	n/a      	23	172270
348021	n/a      	3	178187
348510	n/a      	13	178437
349543	n/a      	24	178966
361281	n/a      	4	184976
361932	n/a      	14	185309
362953	n/a      	26	185832
374777	n/a      	6	191886
375430	n/a      	16	192220
376445	n/a      	23	192740
387637	n/a      	3	198470
388102	n/a      	13	198708
389125	n/a      	24	199232
403518	n/a      	4	206601
404100	n/a      	14	206899
405121	n/a      	25	207422
418980	n/a      	5	214518
419402	n/a      	15	214734
420436	n/a      	26	215263
433242	n/a      	6	221820
433725	n/a      	16	222067
439484	n/a      	24	225016
449889	n/a      	4	230343
450506	n/a      	14	230659
451527	n/a      	23	231182
460781	n/a      	3	235920
461229	n/a      	13	236149
465139	n/a      	26	238151
477896	n/a      	999	244683
478420	n/a      	2	244951
479451	n/a      	25	245479
492309	n/a      	5	252062
493314	n/a      	15	252577
494346	n/a      	24	253105
507121	n/a      	4	259646
507842	n/a      	14	260015
508873	n/a      	23	260543
521449	n/a      	3	266982
521891	n/a      	13	267208
522920	n/a      	25	267735
536311	n/a      	5	274591
537193	n/a      	15	275043
538215	n/a      	23	275566
552023	n/a      	3	282636
553363	n/a      	13	283322
556262	n/a      	26	284806
569271	n/a      	6	291467
570867	n/a      	16	292284
571891	n/a      	23	292808
583449	n/a      	3	298726
584002	n/a      	13	299009
585021	n/a      	25	299531
601330	n/a      	999	307881
601906	n/a      	2	308176
602934	n/a      	26	308702
614059	n/a      	6	314398
614689	n/a      	16	314721
619918	n/a      	23	317398
634453	n/a      	3	324840
634992	n/a      	13	325116
636023	n/a      	25	325644
648264	n/a      	5	331911
648734	n/a      	15	332152
649768	n/a      	24	332681
664061	n/a      	4	339999
664709	n/a      	14	340331
665730	n/a      	26	340854
677305	n/a      	6	346780
677855	n/a      	16	347062
678873	n/a      	26	347583
690932	n/a      	6	353757
692686	n/a      	16	354655
698959	n/a      	23	357867
712334	n/a      	3	364715
712949	n/a      	13	365030
713973	n/a      	26	365554
726713	n/a      	6	372077
727494	n/a      	16	372477
728516	n/a      	24	373000
741408	n/a      	4	379601
742107	n/a      	14	379959
745697	n/a      	23	381797
759557	n/a      	3	388893
760525	n/a      	13	389389
761543	n/a      	23	389910
776904	n/a      	3	397775
777621	n/a      	13	398142
778641	n/a      	25	398664
792283	n/a      	5	405649
792891	n/a      	15	405960
793922	n/a      	24	406488
802893	n/a      	4	411081
803482	n/a      	14	411383
804512	n/a      	25	411910
815703	n/a      	5	417640
816283	n/a      	15	417937
819141	n/a      	25	419400
830264	n/a      	5	425095
831611	n/a      	15	425785
832635	n/a      	26	426309
845543	n/a      	6	432918
846188	n/a      	16	433248
847213	n/a      	23	433773
860340	n/a      	3	440494
860973	n/a      	13	440818
863846	n/a      	25	442289
876504	n/a      	5	448770
877227	n/a      	15	449140
878258	n/a      	26	449668
891082	n/a      	6	456234
891658	n/a      	16	456529
892684	n/a      	23	457054
905861	n/a      	999	463801
906771	n/a      	2	464267
907797	n/a      	24	464792
922740	n/a      	4	472443
923354	n/a      	14	472757
931816	n/a      	23	477090
943930	n/a      	3	483292
944336	n/a      	13	483500
945367	n/a      	26	484028
959275	n/a      	6	491149
959855	n/a      	16	491446
960877	n/a      	25	491969
972471	n/a      	5	497905
972895	n/a      	15	498122
973924	n/a      	24	498649
985697	n/a      	4	504677
986262	n/a      	14	504966
989953	n/a      	23	506856
1002879	n/a      	3	513474
1003352	n/a      	13	513716
1004383	n/a      	26	514244
1017340	n/a      	6	520878
1017879	n/a      	16	521154
1018910	n/a      	23	521682
1032254	n/a      	3	528514
1032727	n/a      	13	528756
1033756	n/a      	25	529283
1047381	n/a      	5	536259
1047902	n/a      	15	536526
1048936	n/a      	23	537055
1062428	n/a      	3	543963
1062951	n/a      	13	544231
1065900	n/a      	25	545741
1078607	n/a      	5	552247
1079094	n/a      	15	552496
1080111	n/a      	26	553017
1093020	n/a      	6	559626
1093535	n/a      	16	559890
1094557	n/a      	23	560413
1107715	n/a      	3	567150
1108223	n/a      	13	567410
1109252	n/a      	24	567937
1123695	n/a      	4	575332
1124205	n/a      	14	575593
1125232	n/a      	25	576119
1137539	n/a      	999	582420
1138262	n/a      	2	582790
1141627	n/a      	26	584513
1155371	n/a      	6	591550
1155941	n/a      	16	591842
1156957	n/a      	23	592362
1168314	n/a      	3	598177
1168789	n/a      	13	598420
1169820	n/a      	24	598948
1182426	n/a      	4	605402
1182939	n/a      	14	605665
1183963	n/a      	25	606189
1195904	n/a      	5	612303
1196531	n/a      	15	612624
1197559	n/a      	26	613150
1210268	n/a      	6	619657
1210820	n/a      	16	619940
1214572	n/a      	24	621861
1227447	n/a      	4	628453
1228020	n/a      	14	628746
1234516	n/a      	23	632072
1245545	n/a      	3	637719
1246043	n/a      	13	637974
1247066	n/a      	25	638498
1259357	n/a      	5	644791
1259762	n/a      	15	644998
1260795	n/a      	26	645527
1272451	n/a      	6	651495
1272986	n/a      	16	651769
1274004	n/a      	23	652290
1288914	n/a      	3	659924
1289338	n/a      	13	660141
1290369	n/a      	24	660669
1301525	n/a      	4	666381
1302025	n/a      	14	666637
1303047	n/a      	25	667160
1315287	n/a      	5	673427
1315793	n/a      	15	673686
1318926	n/a      	24	675290
1330482	n/a      	4	681207
1331248	n/a      	14	681599
1334521	n/a      	26	683275
1347996	n/a      	6	690174
1348490	n/a      	16	690427
1349516	n/a      	26	690952
1363275	n/a      	6	697997
1363746	n/a      	16	698238
1364762	n/a      	24	698758
1378055	n/a      	4	705564
1378568	n/a      	14	705827
1379592	n/a      	23	706351
1393734	n/a      	3	713592
1394377	n/a      	13	713921
1397256	n/a      	25	715395
1409414	n/a      	5	721620
1409887	n/a      	15	721862
1410918	n/a      	26	722390
1425328	n/a      	6	729768
1425881	n/a      	16	730051
1426896	n/a      	23	730571
1439738	n/a      	3	737146
1440240	n/a      	13	737403
1441260	n/a      	25	737925
1454252	n/a      	5	744577
1454662	n/a      	15	744787
1455688	n/a      	26	745312
1469881	n/a      	6	752579
1470543	n/a      	16	752918
1474002	n/a      	23	754689
1487029	n/a      	3	761359
1487496	n/a      	13	761598
1488516	n/a      	23	762120
1500238	n/a      	3	768122
1500734	n/a      	13	768376
