onset	duration	type	sample
2980	n/a      	23	1526
15131	n/a      	3	7747
16301	n/a      	13	8346
20057	n/a      	23	10269
33064	n/a      	3	16929
36324	n/a      	13	18598
37352	n/a      	26	19124
49076	n/a      	6	25127
50164	n/a      	16	25684
51197	n/a      	23	26213
65340	n/a      	3	33454
66813	n/a      	13	34208
67846	n/a      	25	34737
80719	n/a      	5	41328
81578	n/a      	15	41768
82607	n/a      	23	42295
98000	n/a      	3	50176
98844	n/a      	13	50608
99871	n/a      	24	51134
111828	n/a      	4	57256
112857	n/a      	14	57783
113883	n/a      	26	58308
126457	n/a      	6	64746
127691	n/a      	16	65378
132381	n/a      	25	67779
144939	n/a      	5	74209
145441	n/a      	15	74466
146479	n/a      	25	74997
159551	n/a      	5	81690
160385	n/a      	15	82117
163508	n/a      	24	83716
175113	n/a      	4	89658
175953	n/a      	14	90088
176984	n/a      	23	90616
191729	n/a      	3	98165
192707	n/a      	13	98666
193732	n/a      	26	99191
205256	n/a      	999	105091
206434	n/a      	2	105694
207461	n/a      	25	106220
221520	n/a      	5	113418
223824	n/a      	15	114598
224857	n/a      	26	115127
240434	n/a      	6	123102
242258	n/a      	16	124036
243289	n/a      	24	124564
255531	n/a      	4	130832
256432	n/a      	14	131293
262141	n/a      	25	134216
276330	n/a      	5	141481
277232	n/a      	15	141943
278254	n/a      	26	142466
290777	n/a      	999	148878
292912	n/a      	2	149971
293934	n/a      	24	150494
306990	n/a      	4	157179
307727	n/a      	14	157556
308762	n/a      	23	158086
322352	n/a      	3	165044
322936	n/a      	13	165343
334297	n/a      	25	171160
347932	n/a      	5	178141
348742	n/a      	15	178556
351736	n/a      	23	180089
363293	n/a      	3	186006
365271	n/a      	13	187019
366299	n/a      	24	187545
378023	n/a      	4	193548
380078	n/a      	14	194600
381111	n/a      	26	195129
392936	n/a      	999	201183
393910	n/a      	2	201682
394938	n/a      	23	202208
406246	n/a      	3	207998
407326	n/a      	13	208551
408350	n/a      	24	209075
422744	n/a      	4	216445
423660	n/a      	14	216914
424680	n/a      	25	217436
438539	n/a      	5	224532
439365	n/a      	15	224955
440395	n/a      	26	225482
453201	n/a      	6	232039
454135	n/a      	16	232517
459342	n/a      	24	235183
469781	n/a      	4	240528
470740	n/a      	14	241019
471771	n/a      	23	241547
481025	n/a      	3	246285
481797	n/a      	13	246680
486732	n/a      	26	249207
499490	n/a      	6	255739
500549	n/a      	16	256281
501576	n/a      	25	256807
514453	n/a      	5	263400
515428	n/a      	15	263899
516457	n/a      	24	264426
