onset	duration	type	sample
1563	n/a      	25	800
12721	n/a      	999	6513
14643	n/a      	2	7497
15676	n/a      	24	8026
30066	n/a      	4	15394
31520	n/a      	14	16138
32539	n/a      	25	16660
46164	n/a      	5	23636
46977	n/a      	15	24052
62973	n/a      	23	32242
75455	n/a      	3	38633
76232	n/a      	13	39031
77268	n/a      	24	39561
90150	n/a      	4	46157
91439	n/a      	14	46817
92480	n/a      	26	47350
104297	n/a      	999	53400
106488	n/a      	2	54522
107523	n/a      	23	55052
120775	n/a      	3	61837
121553	n/a      	13	62235
133846	n/a      	25	68529
146480	n/a      	5	74998
147174	n/a      	15	75353
148207	n/a      	24	75882
159758	n/a      	4	81796
161445	n/a      	14	82660
162486	n/a      	26	83193
176389	n/a      	6	90311
177375	n/a      	16	90816
178398	n/a      	23	91340
191785	n/a      	3	98194
192559	n/a      	13	98590
193596	n/a      	24	99121
206646	n/a      	4	105803
207709	n/a      	14	106347
214258	n/a      	26	109700
226330	n/a      	6	115881
227166	n/a      	16	116309
228184	n/a      	23	116830
239174	n/a      	3	122457
240287	n/a      	13	123027
241314	n/a      	25	123553
253652	n/a      	5	129870
255102	n/a      	15	130612
256127	n/a      	26	131137
269600	n/a      	999	138035
272494	n/a      	2	139517
273521	n/a      	23	140043
284311	n/a      	3	145567
286742	n/a      	13	146812
287770	n/a      	25	147338
301393	n/a      	5	154313
304740	n/a      	15	156027
305768	n/a      	24	156553
314719	n/a      	4	161136
316053	n/a      	14	161819
317076	n/a      	26	162343
329133	n/a      	6	168516
330014	n/a      	16	168967
338410	n/a      	23	173266
350387	n/a      	3	179398
351123	n/a      	13	179775
352143	n/a      	26	180297
364848	n/a      	6	186802
365684	n/a      	16	187230
366701	n/a      	25	187751
379010	n/a      	5	194053
380018	n/a      	15	194569
381049	n/a      	24	195097
393289	n/a      	4	201364
395137	n/a      	14	202310
408645	n/a      	23	209226
422230	n/a      	3	216182
422955	n/a      	13	216553
423990	n/a      	26	217083
438176	n/a      	6	224346
438963	n/a      	16	224749
439984	n/a      	24	225272
451938	n/a      	4	231392
453617	n/a      	14	232252
454648	n/a      	23	232780
470035	n/a      	3	240658
470713	n/a      	13	241005
471746	n/a      	26	241534
485482	n/a      	6	248567
486266	n/a      	16	248968
493844	n/a      	25	252848
508033	n/a      	5	260113
508951	n/a      	15	260583
509973	n/a      	23	261106
524697	n/a      	3	268645
525584	n/a      	13	269099
533877	n/a      	23	273345
545064	n/a      	3	279073
545521	n/a      	13	279307
546555	n/a      	26	279836
562129	n/a      	999	287810
563920	n/a      	2	288727
564953	n/a      	24	289256
577725	n/a      	4	295795
578631	n/a      	14	296259
579666	n/a      	25	296789
591252	n/a      	5	302721
592518	n/a      	15	303369
593543	n/a      	24	303894
605164	n/a      	4	309844
606502	n/a      	14	310529
607539	n/a      	25	311060
620627	n/a      	5	317761
622102	n/a      	15	318516
633680	n/a      	26	324444
647449	n/a      	6	331494
648471	n/a      	16	332017
649508	n/a      	23	332548
662512	n/a      	3	339206
663166	n/a      	13	339541
664205	n/a      	25	340073
678258	n/a      	5	347268
680221	n/a      	15	348273
685895	n/a      	23	351178
700068	n/a      	3	358435
700910	n/a      	13	358866
701943	n/a      	25	359395
713662	n/a      	999	365395
714797	n/a      	2	365976
715822	n/a      	25	366501
728676	n/a      	5	373082
730939	n/a      	15	374241
738906	n/a      	23	378320
753813	n/a      	3	385952
754500	n/a      	13	386304
755535	n/a      	26	386834
767523	n/a      	6	392972
768980	n/a      	16	393718
770014	n/a      	24	394247
784453	n/a      	4	401640
785299	n/a      	14	402073
792916	n/a      	26	405973
805822	n/a      	6	412581
807107	n/a      	16	413239
808127	n/a      	24	413761
821201	n/a      	999	420455
821619	n/a      	2	420669
822639	n/a      	23	421191
835781	n/a      	3	427920
837443	n/a      	13	428771
838471	n/a      	23	429297
852611	n/a      	3	436537
853604	n/a      	13	437045
860055	n/a      	25	440348
872928	n/a      	5	446939
874209	n/a      	15	447595
875234	n/a      	24	448120
888523	n/a      	4	454924
889609	n/a      	14	455480
890631	n/a      	25	456003
903971	n/a      	5	462833
905008	n/a      	15	463364
906043	n/a      	26	463894
918799	n/a      	6	470425
919521	n/a      	16	470795
929963	n/a      	25	476141
941150	n/a      	5	481869
942137	n/a      	15	482374
943158	n/a      	23	482897
