onset	duration	type	sample
2977	n/a      	23	1524
14990	n/a      	3	7675
15738	n/a      	13	8058
21064	n/a      	23	10785
34072	n/a      	3	17445
35146	n/a      	13	17995
36176	n/a      	26	18522
47900	n/a      	6	24525
48762	n/a      	16	24966
49787	n/a      	23	25491
63914	n/a      	3	32724
64441	n/a      	13	32994
65469	n/a      	25	33520
78326	n/a      	999	40103
79082	n/a      	2	40490
80113	n/a      	23	41018
95506	n/a      	3	48899
96041	n/a      	13	49173
97061	n/a      	24	49695
109018	n/a      	4	55817
109992	n/a      	14	56316
111023	n/a      	26	56844
123596	n/a      	6	63281
124168	n/a      	16	63574
129537	n/a      	25	66323
142096	n/a      	5	72753
143199	n/a      	15	73318
144234	n/a      	25	73848
157324	n/a      	5	80550
158143	n/a      	15	80969
161830	n/a      	24	82857
173453	n/a      	4	88808
174686	n/a      	14	89439
175709	n/a      	23	89963
190436	n/a      	3	97503
191400	n/a      	13	97997
192422	n/a      	26	98520
203945	n/a      	999	104420
204936	n/a      	2	104927
205967	n/a      	25	105455
220025	n/a      	5	112653
220934	n/a      	15	113118
221963	n/a      	26	113645
237539	n/a      	6	121620
238246	n/a      	16	121982
239277	n/a      	24	122510
251520	n/a      	4	128778
252582	n/a      	14	129322
257727	n/a      	25	131956
271920	n/a      	5	139223
273029	n/a      	15	139791
274057	n/a      	26	140317
286582	n/a      	6	146730
287166	n/a      	16	147029
288186	n/a      	24	147551
301244	n/a      	4	154237
302436	n/a      	14	154847
303465	n/a      	23	155374
317039	n/a      	3	162324
317494	n/a      	13	162557
328469	n/a      	25	168176
342113	n/a      	5	175162
342938	n/a      	15	175584
352428	n/a      	23	180443
363980	n/a      	3	186358
364811	n/a      	13	186783
365838	n/a      	24	187309
377559	n/a      	4	193310
378434	n/a      	14	193758
379467	n/a      	26	194287
391285	n/a      	6	200338
392043	n/a      	16	200726
393076	n/a      	23	201255
404246	n/a      	3	206974
405100	n/a      	13	207411
406121	n/a      	24	207934
420512	n/a      	4	215302
421426	n/a      	14	215770
422451	n/a      	25	216295
436307	n/a      	5	223389
437105	n/a      	15	223798
438131	n/a      	26	224323
450936	n/a      	6	230879
451609	n/a      	16	231224
458846	n/a      	24	234929
469283	n/a      	4	240273
470449	n/a      	14	240870
471475	n/a      	23	241395
480727	n/a      	3	246132
481537	n/a      	13	246547
485416	n/a      	26	248533
498176	n/a      	6	255066
498826	n/a      	16	255399
499844	n/a      	25	255920
512721	n/a      	5	262513
513512	n/a      	15	262918
514541	n/a      	24	263445
527314	n/a      	4	269985
528000	n/a      	14	270336
529020	n/a      	23	270858
541510	n/a      	3	277253
542049	n/a      	13	277529
543082	n/a      	25	278058
556473	n/a      	5	284914
557039	n/a      	15	285204
558061	n/a      	23	285727
571869	n/a      	3	292797
572527	n/a      	13	293134
575439	n/a      	26	294625
588449	n/a      	999	301286
589855	n/a      	2	302006
590887	n/a      	23	302534
602445	n/a      	3	308452
603000	n/a      	13	308736
604031	n/a      	25	309264
620342	n/a      	999	317615
621184	n/a      	2	318046
622211	n/a      	26	318572
633336	n/a      	6	324268
634303	n/a      	16	324763
640283	n/a      	23	327825
654818	n/a      	3	335267
655605	n/a      	13	335670
656621	n/a      	25	336190
668863	n/a      	5	342458
669531	n/a      	15	342800
670551	n/a      	24	343322
684844	n/a      	4	350640
685723	n/a      	14	351090
686748	n/a      	26	351615
698305	n/a      	999	357532
699068	n/a      	2	357923
700090	n/a      	26	358446
712148	n/a      	6	364620
712875	n/a      	16	364992
718207	n/a      	23	367722
731582	n/a      	3	374570
732100	n/a      	13	374835
733119	n/a      	26	375357
745859	n/a      	6	381880
746572	n/a      	16	382245
747598	n/a      	24	382770
760490	n/a      	4	389371
761242	n/a      	14	389756
764979	n/a      	23	391669
778838	n/a      	3	398765
779531	n/a      	13	399120
780559	n/a      	23	399646
795918	n/a      	3	407510
796627	n/a      	13	407873
797656	n/a      	25	408400
811281	n/a      	5	415376
811945	n/a      	15	415716
812969	n/a      	24	416240
821939	n/a      	4	420833
822584	n/a      	14	421163
823611	n/a      	25	421689
834801	n/a      	5	427418
835736	n/a      	15	427897
839457	n/a      	25	429802
850580	n/a      	5	435497
851377	n/a      	15	435905
852400	n/a      	26	436429
865309	n/a      	6	443038
865850	n/a      	16	443315
866879	n/a      	23	443842
880021	n/a      	3	450571
880426	n/a      	13	450778
885695	n/a      	25	453476
898336	n/a      	5	459948
898904	n/a      	15	460239
899926	n/a      	26	460762
912748	n/a      	6	467327
913377	n/a      	16	467649
914402	n/a      	23	468174
927576	n/a      	3	474919
928105	n/a      	13	475190
929133	n/a      	24	475716
944059	n/a      	4	483358
944566	n/a      	14	483618
953359	n/a      	23	488120
965416	n/a      	3	494293
966055	n/a      	13	494620
967088	n/a      	26	495149
