onset	duration	type	sample
1838	n/a      	25	941
13002	n/a      	5	6657
14709	n/a      	15	7531
15748	n/a      	24	8063
30133	n/a      	4	15428
31797	n/a      	14	16280
32828	n/a      	25	16808
46463	n/a      	5	23789
47637	n/a      	15	24390
53623	n/a      	23	27455
66113	n/a      	3	33850
67510	n/a      	13	34565
68535	n/a      	24	35090
81424	n/a      	4	41689
83260	n/a      	14	42629
84281	n/a      	26	43152
96104	n/a      	6	49205
97957	n/a      	16	50154
98975	n/a      	23	50675
112250	n/a      	3	57472
113428	n/a      	13	58075
120262	n/a      	25	61574
132918	n/a      	5	68054
133994	n/a      	15	68605
135023	n/a      	24	69132
146578	n/a      	4	75048
148219	n/a      	14	75888
149252	n/a      	26	76417
163158	n/a      	6	83537
164635	n/a      	16	84293
165664	n/a      	23	84820
179039	n/a      	3	91668
180459	n/a      	13	92395
181480	n/a      	24	92918
194535	n/a      	4	99602
195969	n/a      	14	100336
201963	n/a      	26	103405
214035	n/a      	999	109586
216859	n/a      	2	111032
217891	n/a      	23	111560
228881	n/a      	3	117187
229922	n/a      	13	117720
230953	n/a      	25	118248
243293	n/a      	5	124566
244938	n/a      	15	125408
245965	n/a      	26	125934
259438	n/a      	6	132832
261738	n/a      	16	134010
262762	n/a      	23	134534
273551	n/a      	3	140058
275059	n/a      	13	140830
276090	n/a      	25	141358
289715	n/a      	5	148334
290809	n/a      	15	148894
291836	n/a      	24	149420
300791	n/a      	4	154005
301969	n/a      	14	154608
302996	n/a      	26	155134
315051	n/a      	6	161306
317393	n/a      	16	162505
328479	n/a      	23	168181
340477	n/a      	3	174324
341742	n/a      	13	174972
342768	n/a      	26	175497
355471	n/a      	6	182001
357623	n/a      	16	183103
358645	n/a      	25	183626
370951	n/a      	5	189927
371758	n/a      	15	190340
372793	n/a      	24	190870
385029	n/a      	4	197135
385973	n/a      	14	197618
391906	n/a      	23	200656
405496	n/a      	3	207614
406590	n/a      	13	208174
407619	n/a      	26	208701
421811	n/a      	6	215967
422709	n/a      	16	216427
423730	n/a      	24	216950
435689	n/a      	4	223073
436924	n/a      	14	223705
437945	n/a      	23	224228
453336	n/a      	3	232108
454469	n/a      	13	232688
455492	n/a      	26	233212
469232	n/a      	6	240247
470014	n/a      	16	240647
481533	n/a      	25	246545
495723	n/a      	5	253810
496668	n/a      	15	254294
497697	n/a      	23	254821
512436	n/a      	3	262367
513691	n/a      	13	263010
522650	n/a      	23	267597
533836	n/a      	3	273324
534492	n/a      	13	273660
535527	n/a      	26	274190
551100	n/a      	999	282163
553236	n/a      	2	283257
554260	n/a      	24	283781
567031	n/a      	4	290320
568105	n/a      	14	290870
569139	n/a      	25	291399
580725	n/a      	5	297331
581594	n/a      	15	297776
582615	n/a      	24	298299
594236	n/a      	4	304249
595041	n/a      	14	304661
596078	n/a      	25	305192
609166	n/a      	5	311893
610018	n/a      	15	312329
615457	n/a      	26	315114
629232	n/a      	6	322167
630611	n/a      	16	322873
631637	n/a      	23	323398
644645	n/a      	3	330058
645994	n/a      	13	330749
647018	n/a      	25	331273
661074	n/a      	5	338470
661656	n/a      	15	338768
670439	n/a      	23	343265
684600	n/a      	3	350515
685783	n/a      	13	351121
686807	n/a      	25	351645
698529	n/a      	999	357647
699320	n/a      	2	358052
700352	n/a      	25	358580
713207	n/a      	5	365162
713861	n/a      	15	365497
733904	n/a      	23	375759
748820	n/a      	999	383396
749750	n/a      	2	383872
750783	n/a      	26	384401
762766	n/a      	6	390536
763830	n/a      	16	391081
764861	n/a      	24	391609
779279	n/a      	999	398991
780223	n/a      	2	399474
787088	n/a      	26	402989
799996	n/a      	6	409598
801021	n/a      	16	410123
802051	n/a      	24	410650
815125	n/a      	4	417344
815973	n/a      	14	417778
816998	n/a      	23	418303
830137	n/a      	3	425030
831166	n/a      	13	425557
832193	n/a      	23	426083
846334	n/a      	3	433323
847373	n/a      	13	433855
854096	n/a      	25	437297
866969	n/a      	5	443888
867771	n/a      	15	444299
868807	n/a      	24	444829
882098	n/a      	4	451634
883076	n/a      	14	452135
884104	n/a      	25	452661
897443	n/a      	5	459491
898299	n/a      	15	459929
899332	n/a      	26	460458
912088	n/a      	6	466989
913260	n/a      	16	467589
919965	n/a      	25	471022
931154	n/a      	5	476751
931891	n/a      	15	477128
932910	n/a      	23	477650
944916	n/a      	3	483797
945859	n/a      	13	484280
946889	n/a      	26	484807
958545	n/a      	6	490775
962643	n/a      	16	492873
963668	n/a      	24	493398
976775	n/a      	4	500109
979395	n/a      	14	501450
980418	n/a      	26	501974
994824	n/a      	6	509350
996260	n/a      	16	510085
997279	n/a      	25	510607
1009836	n/a      	5	517036
1010904	n/a      	15	517583
1018320	n/a      	23	521380
1029936	n/a      	3	527327
1031369	n/a      	13	528061
1042904	n/a      	25	533967
1055623	n/a      	5	540479
1056199	n/a      	15	540774
1057234	n/a      	26	541304
1069969	n/a      	6	547824
1070912	n/a      	16	548307
1071945	n/a      	24	548836
1084564	n/a      	4	555297
1086311	n/a      	14	556191
1087342	n/a      	23	556719
1098893	n/a      	3	562633
1099664	n/a      	13	563028
1100686	n/a      	26	563551
1113639	n/a      	6	570183
1114832	n/a      	16	570794
1115863	n/a      	26	571322
1128701	n/a      	6	577895
1129863	n/a      	16	578490
1141369	n/a      	24	584381
1151803	n/a      	4	589723
1153373	n/a      	14	590527
1154396	n/a      	25	591051
1166633	n/a      	5	597316
1167252	n/a      	15	597633
1168293	n/a      	23	598166
1181777	n/a      	3	605070
1182551	n/a      	13	605466
1183588	n/a      	26	605997
1196391	n/a      	999	612552
1197174	n/a      	2	612953
1198199	n/a      	25	613478
1210502	n/a      	5	619777
1211195	n/a      	15	620132
1221219	n/a      	23	625264
1234139	n/a      	3	631879
1235254	n/a      	13	632450
1236279	n/a      	24	632975
1248018	n/a      	4	638985
1249260	n/a      	14	639621
1255527	n/a      	26	642830
1269451	n/a      	6	649959
1270445	n/a      	16	650468
1271473	n/a      	25	650994
1283295	n/a      	5	657047
1284363	n/a      	15	657594
1285385	n/a      	23	658117
1298691	n/a      	3	664930
1302355	n/a      	13	666806
1303383	n/a      	23	667332
1316539	n/a      	3	674068
1317531	n/a      	13	674576
1318563	n/a      	25	675104
1330602	n/a      	5	681268
1331131	n/a      	15	681539
1332156	n/a      	24	682064
1345213	n/a      	4	688749
1346650	n/a      	14	689485
1350818	n/a      	24	691619
1366813	n/a      	4	699808
1367783	n/a      	14	700305
1368818	n/a      	24	700835
1381674	n/a      	4	707417
1382592	n/a      	14	707887
1383613	n/a      	26	708410
1395135	n/a      	6	714309
1396441	n/a      	16	714978
1405449	n/a      	23	719590
1414701	n/a      	3	724327
1415465	n/a      	13	724718
1416492	n/a      	25	725244
1432801	n/a      	5	733594
1433432	n/a      	15	733917
1434457	n/a      	24	734442
1449396	n/a      	4	742091
1450279	n/a      	14	742543
1451305	n/a      	26	743068
1463875	n/a      	6	749504
1465119	n/a      	16	750141
1466148	n/a      	25	750668
1479537	n/a      	5	757523
1480246	n/a      	15	757886
1492977	n/a      	23	764404
1504859	n/a      	999	770488
1505895	n/a      	2	771018
1506918	n/a      	23	771542
1520771	n/a      	3	778635
1521424	n/a      	13	778969
1522449	n/a      	25	779494
1534150	n/a      	5	785485
1534750	n/a      	15	785792
1535777	n/a      	24	786318
1546943	n/a      	4	792035
1547893	n/a      	14	792521
1561949	n/a      	26	799718
1574949	n/a      	6	806374
1576207	n/a      	16	807018
1577244	n/a      	23	807549
1588346	n/a      	3	813233
1589342	n/a      	13	813743
1590373	n/a      	26	814271
1604258	n/a      	6	821380
1605533	n/a      	16	822033
1606568	n/a      	24	822563
1620973	n/a      	4	829938
1622363	n/a      	14	830650
1623400	n/a      	25	831181
1636367	n/a      	5	837820
1638229	n/a      	15	838773
1639264	n/a      	23	839303
1650613	n/a      	3	845114
1651645	n/a      	13	845642
1657139	n/a      	25	848455
1671197	n/a      	5	855653
1671787	n/a      	15	855955
1672818	n/a      	26	856483
1686143	n/a      	6	863305
1688500	n/a      	16	864512
1692625	n/a      	23	866624
1705848	n/a      	3	873394
1707002	n/a      	13	873985
1708037	n/a      	25	874515
1720326	n/a      	5	880807
1721480	n/a      	15	881398
1722516	n/a      	23	881928
1735557	n/a      	3	888605
1736291	n/a      	13	888981
1741580	n/a      	26	891689
1754488	n/a      	6	898298
1755514	n/a      	16	898823
1756543	n/a      	23	899350
1768250	n/a      	3	905344
1768906	n/a      	13	905680
1769938	n/a      	26	906208
1781494	n/a      	6	912125
1782570	n/a      	16	912676
1786434	n/a      	23	914654
1800260	n/a      	3	921733
1800865	n/a      	13	922043
1801895	n/a      	26	922570
1816305	n/a      	6	929948
1817178	n/a      	16	930395
1818209	n/a      	25	930923
1831066	n/a      	5	937506
1831600	n/a      	15	937779
1832621	n/a      	23	938302
1847982	n/a      	3	946167
1848520	n/a      	13	946442
1854641	n/a      	26	949576
1865746	n/a      	6	955262
1866695	n/a      	16	955748
1867717	n/a      	23	956271
1881576	n/a      	3	963367
1882641	n/a      	13	963912
1883666	n/a      	24	964437
1897957	n/a      	4	971754
1898830	n/a      	14	972201
1899863	n/a      	26	972730
1912385	n/a      	6	979141
1913408	n/a      	16	979665
1914439	n/a      	25	980193
1928016	n/a      	5	987144
1928717	n/a      	15	987503
1947211	n/a      	23	996972
1961691	n/a      	3	1004386
1962215	n/a      	13	1004654
1963256	n/a      	25	1005187
1977105	n/a      	5	1012278
1977805	n/a      	15	1012636
1978836	n/a      	24	1013164
1990617	n/a      	4	1019196
1991436	n/a      	14	1019615
1992480	n/a      	23	1020150
2005313	n/a      	3	1026720
2006063	n/a      	13	1027104
2007094	n/a      	25	1027632
2019322	n/a      	5	1033893
2020020	n/a      	15	1034250
