onset	duration	type	sample
10697	n/a      	3	5477
11457	n/a      	2	5866
15555	n/a      	24	7964
28563	n/a      	23	14624
30889	n/a      	999	15815
31916	n/a      	2	16341
43641	n/a      	6	22344
44496	n/a      	16	22782
45527	n/a      	23	23310
59672	n/a      	3	30552
60889	n/a      	13	31175
61910	n/a      	25	31698
74768	n/a      	5	38281
75863	n/a      	15	38842
76889	n/a      	23	39367
92281	n/a      	3	47248
93680	n/a      	13	47964
94703	n/a      	24	48488
106660	n/a      	4	54610
107807	n/a      	14	55197
108832	n/a      	26	55722
121406	n/a      	6	62160
122727	n/a      	16	62836
128814	n/a      	25	65953
141355	n/a      	5	72374
142133	n/a      	15	72772
143162	n/a      	25	73299
156252	n/a      	5	80001
156988	n/a      	15	80378
160207	n/a      	24	82026
171830	n/a      	4	87977
172869	n/a      	14	88509
173902	n/a      	23	89038
188629	n/a      	3	96578
189590	n/a      	13	97070
190615	n/a      	26	97595
202139	n/a      	6	103495
204182	n/a      	16	104541
205209	n/a      	25	105067
219270	n/a      	5	112266
220363	n/a      	15	112826
221391	n/a      	26	113352
236969	n/a      	6	121328
239133	n/a      	16	122436
240154	n/a      	24	122959
252396	n/a      	4	129227
254283	n/a      	14	130193
259340	n/a      	25	132782
273531	n/a      	5	140048
274420	n/a      	15	140503
275453	n/a      	26	141032
287977	n/a      	6	147444
288684	n/a      	16	147806
289713	n/a      	24	148333
302773	n/a      	4	155020
303826	n/a      	14	155559
304861	n/a      	23	156089
318451	n/a      	3	163047
319133	n/a      	13	163396
324139	n/a      	25	165959
337742	n/a      	5	172924
338480	n/a      	15	173302
342531	n/a      	23	175376
354088	n/a      	3	181293
355242	n/a      	13	181884
356277	n/a      	24	182414
367998	n/a      	4	188415
368896	n/a      	14	188875
369920	n/a      	26	189399
381744	n/a      	6	195453
382635	n/a      	16	195909
383664	n/a      	23	196436
394855	n/a      	3	202166
396475	n/a      	13	202995
397492	n/a      	24	203516
411885	n/a      	4	210885
412688	n/a      	14	211296
413707	n/a      	25	211818
427549	n/a      	5	218905
428088	n/a      	15	219181
429119	n/a      	26	219709
441943	n/a      	6	226275
443217	n/a      	16	226927
447684	n/a      	24	229214
458125	n/a      	4	234560
458943	n/a      	14	234979
459979	n/a      	23	235509
469234	n/a      	3	240248
469857	n/a      	13	240567
474641	n/a      	26	243016
487398	n/a      	6	249548
488336	n/a      	16	250028
489369	n/a      	25	250557
502244	n/a      	5	257149
502879	n/a      	15	257474
503898	n/a      	24	257996
516672	n/a      	4	264536
517295	n/a      	14	264855
518328	n/a      	23	265384
530816	n/a      	3	271778
531383	n/a      	13	272068
532406	n/a      	25	272592
545797	n/a      	5	279448
546365	n/a      	15	279739
547402	n/a      	24	280270
561209	n/a      	23	287339
562055	n/a      	999	287772
567467	n/a      	2	290543
580492	n/a      	6	297212
581375	n/a      	16	297664
582396	n/a      	23	298187
593953	n/a      	3	304104
595104	n/a      	13	304693
596125	n/a      	25	305216
612602	n/a      	5	313652
613717	n/a      	15	314223
614740	n/a      	26	314747
625846	n/a      	6	320433
626861	n/a      	16	320953
633348	n/a      	23	324274
647867	n/a      	3	331708
648422	n/a      	13	331992
649455	n/a      	25	332521
661695	n/a      	5	338788
662467	n/a      	15	339183
663502	n/a      	24	339713
677877	n/a      	4	347073
678619	n/a      	14	347453
679648	n/a      	26	347980
691203	n/a      	6	353896
691820	n/a      	16	354212
692840	n/a      	26	354734
704898	n/a      	6	360908
705805	n/a      	16	361372
710973	n/a      	23	364018
724348	n/a      	3	370866
725260	n/a      	13	371333
726285	n/a      	26	371858
739010	n/a      	6	378373
740717	n/a      	16	379247
741748	n/a      	24	379775
754639	n/a      	4	386375
755627	n/a      	14	386881
761299	n/a      	23	389785
775256	n/a      	3	396931
776146	n/a      	13	397387
777178	n/a      	24	397915
792537	n/a      	23	405779
793330	n/a      	999	406185
794359	n/a      	2	406712
807982	n/a      	5	413687
808602	n/a      	15	414004
809621	n/a      	24	414526
818576	n/a      	4	419111
819361	n/a      	14	419513
820381	n/a      	25	420035
831553	n/a      	5	425755
832105	n/a      	15	426038
838313	n/a      	25	429216
849436	n/a      	5	434911
850072	n/a      	15	435237
851105	n/a      	26	435766
864014	n/a      	6	442375
864578	n/a      	16	442664
865600	n/a      	23	443187
878742	n/a      	3	449916
879650	n/a      	13	450381
885168	n/a      	25	453206
897824	n/a      	5	459686
898641	n/a      	15	460104
899662	n/a      	26	460627
912502	n/a      	6	467201
913152	n/a      	16	467534
914174	n/a      	23	468057
927365	n/a      	3	474811
928010	n/a      	13	475141
929037	n/a      	24	475667
944162	n/a      	4	483411
944863	n/a      	14	483770
949775	n/a      	23	486285
961813	n/a      	3	492448
962455	n/a      	13	492777
963484	n/a      	26	493304
977391	n/a      	6	500424
977998	n/a      	16	500735
979027	n/a      	25	501262
990619	n/a      	5	507197
991213	n/a      	15	507501
992240	n/a      	24	508027
1004029	n/a      	4	514063
1006021	n/a      	14	515083
1013643	n/a      	23	518985
1026582	n/a      	3	525610
1027293	n/a      	13	525974
1028322	n/a      	26	526501
1041311	n/a      	6	533151
1043061	n/a      	16	534047
1044084	n/a      	24	534571
1057424	n/a      	23	541401
1058053	n/a      	999	541723
1059080	n/a      	2	542249
1072703	n/a      	5	549224
1073156	n/a      	15	549456
1074176	n/a      	23	549978
1087666	n/a      	3	556885
1088469	n/a      	13	557296
1093307	n/a      	25	559773
1106031	n/a      	5	566288
1106635	n/a      	15	566597
1107670	n/a      	26	567127
1120576	n/a      	6	573735
1121156	n/a      	16	574032
1122180	n/a      	23	574556
1135455	n/a      	3	581353
