onset	duration	type	sample
1	n/a      	25	1
1328	n/a      	5	680
2238	n/a      	15	1146
3270	n/a      	24	1674
17658	n/a      	4	9041
19686	n/a      	14	10079
20717	n/a      	25	10607
34355	n/a      	5	17590
35533	n/a      	15	18193
46322	n/a      	23	23717
58811	n/a      	3	30111
60502	n/a      	13	30977
61535	n/a      	24	31506
74422	n/a      	4	38104
76350	n/a      	14	39091
77383	n/a      	26	39620
89201	n/a      	6	45671
90711	n/a      	16	46444
91742	n/a      	23	46972
104982	n/a      	3	53751
107430	n/a      	13	55004
114744	n/a      	25	58749
127400	n/a      	5	65229
128836	n/a      	15	65964
129857	n/a      	24	66487
141412	n/a      	4	72403
142740	n/a      	14	73083
143768	n/a      	26	73609
157676	n/a      	6	80730
158965	n/a      	16	81390
159998	n/a      	23	81919
173371	n/a      	3	88766
174324	n/a      	13	89254
175346	n/a      	24	89777
188400	n/a      	4	96461
189883	n/a      	14	97220
195160	n/a      	26	99922
207232	n/a      	6	106103
208820	n/a      	16	106916
209838	n/a      	23	107437
220811	n/a      	3	113055
221637	n/a      	13	113478
222666	n/a      	25	114005
234988	n/a      	5	120314
235842	n/a      	15	120751
236877	n/a      	26	121281
250352	n/a      	6	128180
255012	n/a      	16	130566
256043	n/a      	23	131094
266832	n/a      	3	136618
267859	n/a      	13	137144
268887	n/a      	25	137670
282512	n/a      	5	144646
283330	n/a      	15	145065
284350	n/a      	24	145587
293320	n/a      	4	150180
294434	n/a      	14	150750
295459	n/a      	26	151275
307516	n/a      	999	157448
308123	n/a      	2	157759
321080	n/a      	23	164393
333184	n/a      	3	170590
334281	n/a      	13	171152
335309	n/a      	26	171678
348014	n/a      	6	178183
349225	n/a      	16	178803
350252	n/a      	25	179329
362559	n/a      	5	185630
363902	n/a      	15	186318
364934	n/a      	24	186846
377270	n/a      	4	193162
378584	n/a      	14	193835
395281	n/a      	23	202384
408848	n/a      	3	209330
409615	n/a      	13	209723
410643	n/a      	26	210249
424844	n/a      	6	217520
426215	n/a      	16	218222
427256	n/a      	24	218755
439205	n/a      	4	224873
440223	n/a      	14	225394
441252	n/a      	23	225921
456637	n/a      	3	233798
457639	n/a      	13	234311
458666	n/a      	26	234837
472500	n/a      	999	241920
473783	n/a      	2	242577
483799	n/a      	25	247705
497988	n/a      	5	254970
498686	n/a      	15	255327
499713	n/a      	23	255853
514518	n/a      	3	263433
515109	n/a      	13	263736
522463	n/a      	23	267501
533635	n/a      	3	273221
534422	n/a      	13	273624
535457	n/a      	26	274154
551031	n/a      	6	282128
553742	n/a      	16	283516
554771	n/a      	24	284043
567545	n/a      	4	290583
