onset	duration	type	sample
1551	n/a      	23	794
13555	n/a      	3	6940
14559	n/a      	13	7454
20014	n/a      	23	10247
33020	n/a      	3	16906
34693	n/a      	13	17763
35725	n/a      	26	18291
47449	n/a      	999	24294
48479	n/a      	2	24821
49502	n/a      	23	25345
63646	n/a      	3	32587
64982	n/a      	13	33271
66000	n/a      	25	33792
78875	n/a      	5	40384
80244	n/a      	15	41085
81264	n/a      	23	41607
96656	n/a      	3	49488
98109	n/a      	13	50232
99129	n/a      	24	50754
111084	n/a      	4	56875
112771	n/a      	14	57739
113807	n/a      	26	58269
126381	n/a      	6	64707
127645	n/a      	16	65354
131838	n/a      	25	67501
144395	n/a      	5	73930
145195	n/a      	15	74340
146217	n/a      	25	74863
159309	n/a      	5	81566
160162	n/a      	15	82003
163797	n/a      	24	83864
175422	n/a      	4	89816
176602	n/a      	14	90420
177625	n/a      	23	90944
192369	n/a      	3	98493
194484	n/a      	13	99576
195506	n/a      	26	100099
207031	n/a      	6	106000
208066	n/a      	16	106530
209084	n/a      	25	107051
223145	n/a      	5	114250
224186	n/a      	15	114783
225215	n/a      	26	115310
240793	n/a      	6	123286
241922	n/a      	16	123864
242945	n/a      	24	124388
255188	n/a      	4	130656
256354	n/a      	14	131253
261797	n/a      	25	134040
275988	n/a      	5	141306
276529	n/a      	15	141583
277561	n/a      	26	142111
290082	n/a      	6	148522
290994	n/a      	16	148989
292020	n/a      	24	149514
305078	n/a      	4	156200
306553	n/a      	14	156955
307584	n/a      	23	157483
321158	n/a      	3	164433
322498	n/a      	13	165119
327359	n/a      	25	167608
340982	n/a      	5	174583
341686	n/a      	15	174943
345021	n/a      	23	176651
356580	n/a      	3	182569
357631	n/a      	13	183107
358650	n/a      	24	183629
370375	n/a      	4	189632
372732	n/a      	14	190839
373764	n/a      	26	191367
385586	n/a      	6	197420
387398	n/a      	16	198348
388424	n/a      	23	198873
399615	n/a      	3	204603
400463	n/a      	13	205037
401486	n/a      	24	205561
415879	n/a      	4	212930
417859	n/a      	14	213944
418885	n/a      	25	214469
432742	n/a      	5	221564
434053	n/a      	15	222235
435080	n/a      	26	222761
447904	n/a      	6	229327
448957	n/a      	16	229866
453395	n/a      	24	232138
463836	n/a      	4	237484
465092	n/a      	14	238127
466123	n/a      	23	238655
475361	n/a      	3	243385
476270	n/a      	13	243850
482906	n/a      	26	247248
495662	n/a      	6	253779
496740	n/a      	16	254331
497766	n/a      	25	254856
510623	n/a      	5	261439
511275	n/a      	15	261773
