onset	duration	type	sample
1340	n/a      	23	686
13314	n/a      	3	6817
14756	n/a      	13	7555
19373	n/a      	23	9919
32381	n/a      	3	16579
33459	n/a      	13	17131
34484	n/a      	26	17656
46209	n/a      	6	23659
46813	n/a      	16	23968
47828	n/a      	23	24488
61971	n/a      	999	31729
63244	n/a      	2	32381
64277	n/a      	25	32910
77135	n/a      	5	39493
78713	n/a      	15	40301
79738	n/a      	23	40826
95133	n/a      	999	48708
96498	n/a      	2	49407
97521	n/a      	24	49931
109477	n/a      	4	56052
110961	n/a      	14	56812
111982	n/a      	26	57335
124557	n/a      	6	63773
125195	n/a      	16	64100
129912	n/a      	25	66515
142471	n/a      	5	72945
143434	n/a      	15	73438
144459	n/a      	25	73963
157551	n/a      	5	80666
158561	n/a      	15	81183
161389	n/a      	24	82631
173014	n/a      	4	88583
173881	n/a      	14	89027
174900	n/a      	23	89549
189627	n/a      	3	97089
190674	n/a      	13	97625
191697	n/a      	26	98149
203223	n/a      	6	104050
204225	n/a      	16	104563
205240	n/a      	25	105083
219303	n/a      	5	112283
219768	n/a      	15	112521
220789	n/a      	26	113044
236365	n/a      	6	121019
236801	n/a      	16	121242
237818	n/a      	24	121763
250061	n/a      	4	128031
251119	n/a      	14	128573
258172	n/a      	25	132184
272361	n/a      	5	139449
273023	n/a      	15	139788
274051	n/a      	26	140314
286574	n/a      	6	146726
287145	n/a      	16	147018
288162	n/a      	24	147539
301221	n/a      	4	154225
301949	n/a      	14	154598
302975	n/a      	23	155123
316566	n/a      	3	162082
317191	n/a      	13	162402
322223	n/a      	25	164978
335854	n/a      	5	171957
336605	n/a      	15	172342
343031	n/a      	23	175632
354586	n/a      	3	181548
355285	n/a      	13	181906
356309	n/a      	24	182430
368047	n/a      	4	188440
368947	n/a      	14	188901
369971	n/a      	26	189425
381791	n/a      	6	195477
382396	n/a      	16	195787
383430	n/a      	23	196316
394619	n/a      	999	202045
395182	n/a      	2	202333
396207	n/a      	24	202858
410600	n/a      	4	210227
411619	n/a      	14	210749
412654	n/a      	25	211279
426512	n/a      	5	218374
427234	n/a      	15	218744
428268	n/a      	26	219273
441074	n/a      	6	225830
441740	n/a      	16	226171
445379	n/a      	24	228034
455803	n/a      	4	233371
456506	n/a      	14	233731
457541	n/a      	23	234261
466797	n/a      	3	239000
467611	n/a      	13	239417
472520	n/a      	26	241930
485277	n/a      	6	248462
486004	n/a      	16	248834
487031	n/a      	25	249360
499906	n/a      	5	255952
500346	n/a      	15	256177
501379	n/a      	24	256706
514150	n/a      	4	263245
514842	n/a      	14	263599
515873	n/a      	23	264127
528363	n/a      	3	270522
529059	n/a      	13	270878
530084	n/a      	25	271403
543477	n/a      	5	278260
544025	n/a      	15	278541
545047	n/a      	23	279064
558855	n/a      	3	286134
560066	n/a      	13	286754
564027	n/a      	26	288782
577037	n/a      	6	295443
577746	n/a      	16	295806
578773	n/a      	23	296332
590330	n/a      	3	302249
592395	n/a      	13	303306
593420	n/a      	25	303831
609730	n/a      	5	312182
