onset	duration	type	sample
2473	n/a      	25	1266
13666	n/a      	5	6997
14727	n/a      	15	7540
15758	n/a      	24	8068
30146	n/a      	4	15435
31814	n/a      	14	16289
32838	n/a      	25	16813
46477	n/a      	999	23796
49414	n/a      	2	25300
59158	n/a      	23	30289
71648	n/a      	3	36684
72838	n/a      	13	37293
73873	n/a      	24	37823
86762	n/a      	4	44422
88221	n/a      	14	45169
89252	n/a      	26	45697
101156	n/a      	6	51792
103406	n/a      	16	52944
104430	n/a      	23	53468
117686	n/a      	3	60255
120391	n/a      	13	61640
126898	n/a      	25	64972
139555	n/a      	5	71452
140549	n/a      	15	71961
141576	n/a      	24	72487
153133	n/a      	4	78404
154164	n/a      	14	78932
155189	n/a      	26	79457
169096	n/a      	6	86577
170045	n/a      	16	87063
171066	n/a      	23	87586
184457	n/a      	3	94442
186156	n/a      	13	95312
187182	n/a      	24	95837
200238	n/a      	4	102522
201332	n/a      	14	103082
205813	n/a      	26	105376
217887	n/a      	6	111558
218828	n/a      	16	112040
219855	n/a      	23	112566
230846	n/a      	3	118193
232068	n/a      	13	118819
233102	n/a      	25	119348
245426	n/a      	5	125658
246363	n/a      	15	126138
247396	n/a      	26	126667
260871	n/a      	6	133566
262299	n/a      	16	134297
263324	n/a      	23	134822
274166	n/a      	3	140373
274820	n/a      	13	140708
275836	n/a      	25	141228
289461	n/a      	999	148204
290508	n/a      	2	148740
291533	n/a      	24	149265
300504	n/a      	4	153858
301561	n/a      	14	154399
302592	n/a      	26	154927
314648	n/a      	6	161100
317043	n/a      	16	162326
325615	n/a      	23	166715
337756	n/a      	3	172931
338625	n/a      	13	173376
339645	n/a      	26	173898
352352	n/a      	6	180404
353041	n/a      	16	180757
354072	n/a      	25	181285
366379	n/a      	5	187586
367279	n/a      	15	188047
368301	n/a      	24	188570
380607	n/a      	4	194871
381262	n/a      	14	195206
386166	n/a      	23	197717
399740	n/a      	999	204667
400471	n/a      	2	205041
401494	n/a      	26	205565
415688	n/a      	6	212832
417463	n/a      	16	213741
418492	n/a      	24	214268
430449	n/a      	4	220390
431143	n/a      	14	220745
432172	n/a      	23	221272
447564	n/a      	3	229153
448486	n/a      	13	229625
449520	n/a      	26	230154
463260	n/a      	6	237189
464063	n/a      	16	237600
471086	n/a      	25	241196
485277	n/a      	5	248462
486045	n/a      	15	248855
487068	n/a      	23	249379
501809	n/a      	3	256926
503254	n/a      	13	257666
507900	n/a      	23	260045
519090	n/a      	3	265774
519990	n/a      	13	266235
521012	n/a      	26	266758
536588	n/a      	6	274733
537318	n/a      	16	275107
538340	n/a      	24	275630
551115	n/a      	4	282171
552100	n/a      	14	282675
553121	n/a      	25	283198
564711	n/a      	5	289132
565275	n/a      	15	289421
566299	n/a      	24	289945
577922	n/a      	4	295896
578492	n/a      	14	296188
579525	n/a      	25	296717
592717	n/a      	5	303471
593123	n/a      	15	303679
597625	n/a      	26	305984
611398	n/a      	6	313036
612027	n/a      	16	313358
613053	n/a      	23	313883
626045	n/a      	3	320535
627564	n/a      	13	321313
628584	n/a      	25	321835
642658	n/a      	5	329041
643410	n/a      	15	329426
646906	n/a      	23	331216
661262	n/a      	3	338566
662242	n/a      	13	339068
663268	n/a      	25	339593
674990	n/a      	999	345595
675594	n/a      	2	345904
676627	n/a      	25	346433
689486	n/a      	5	353017
690193	n/a      	15	353379
701820	n/a      	23	359332
716725	n/a      	3	366963
717586	n/a      	13	367404
718617	n/a      	26	367932
730604	n/a      	6	374069
731305	n/a      	16	374428
732328	n/a      	24	374952
746766	n/a      	4	382344
747527	n/a      	14	382734
751891	n/a      	26	384968
764781	n/a      	6	391568
766232	n/a      	16	392311
767252	n/a      	24	392833
780344	n/a      	4	399536
781383	n/a      	14	400068
782416	n/a      	23	400597
795557	n/a      	3	407325
796369	n/a      	13	407741
797395	n/a      	23	408266
811537	n/a      	3	415507
813328	n/a      	13	416424
817744	n/a      	25	418685
830619	n/a      	5	425277
833605	n/a      	15	426806
834627	n/a      	24	427329
847916	n/a      	4	434133
848861	n/a      	14	434617
849889	n/a      	25	435143
863213	n/a      	5	441965
863949	n/a      	15	442342
864984	n/a      	26	442872
877742	n/a      	6	449404
878959	n/a      	16	450027
887404	n/a      	25	454351
898592	n/a      	5	460079
899598	n/a      	15	460594
900633	n/a      	23	461124
912637	n/a      	3	467270
913150	n/a      	13	467533
914178	n/a      	26	468059
925830	n/a      	6	474025
927750	n/a      	16	475008
928771	n/a      	24	475531
941877	n/a      	4	482241
942789	n/a      	14	482708
943818	n/a      	26	483235
958225	n/a      	6	490611
959014	n/a      	16	491015
960047	n/a      	25	491544
972604	n/a      	5	497973
973221	n/a      	15	498289
978340	n/a      	23	500910
989943	n/a      	3	506851
990492	n/a      	13	507132
993365	n/a      	25	508603
1006092	n/a      	999	515119
1007053	n/a      	2	515611
1008076	n/a      	26	516135
1020818	n/a      	6	522659
1021588	n/a      	16	523053
1022605	n/a      	24	523574
1035230	n/a      	4	530038
1036307	n/a      	14	530589
1037336	n/a      	23	531116
1048893	n/a      	3	537033
1049635	n/a      	13	537413
1050664	n/a      	26	537940
1063621	n/a      	6	544574
1064668	n/a      	16	545110
1065691	n/a      	26	545634
1078518	n/a      	6	552201
1079146	n/a      	16	552523
1082088	n/a      	24	554029
1092529	n/a      	4	559375
1093193	n/a      	14	559715
1094217	n/a      	25	560239
1106457	n/a      	5	566506
1108000	n/a      	15	567296
1109027	n/a      	23	567822
1122520	n/a      	3	574730
1123154	n/a      	13	575055
1124174	n/a      	26	575577
1137000	n/a      	6	582144
