onset	duration	type	sample
4182	n/a      	23	8168
16164	n/a      	3	33104
16802	n/a      	13	34410
22356	n/a      	23	45785
35364	n/a      	3	72425
36529	n/a      	13	74812
37552	n/a      	26	76906
49275	n/a      	6	100915
50561	n/a      	16	103549
51580	n/a      	23	105636
65722	n/a      	3	134599
66801	n/a      	13	136808
67827	n/a      	25	138910
80684	n/a      	5	165241
83729	n/a      	15	171476
84758	n/a      	23	173584
100150	n/a      	3	205108
101329	n/a      	13	207521
102356	n/a      	24	209625
114312	n/a      	4	234110
115312	n/a      	14	236159
116334	n/a      	26	238252
128907	n/a      	999	264001
131736	n/a      	2	269795
136500	n/a      	25	279552
149057	n/a      	5	305269
149936	n/a      	15	307068
150962	n/a      	25	309171
164053	n/a      	999	335980
165040	n/a      	2	338001
173867	n/a      	24	356080
185488	n/a      	4	379879
186431	n/a      	14	381811
187461	n/a      	23	383921
202201	n/a      	3	414108
202991	n/a      	13	415725
204025	n/a      	26	417844
215529	n/a      	6	441404
216271	n/a      	16	442922
217303	n/a      	25	445036
231358	n/a      	5	473822
231982	n/a      	15	475100
233016	n/a      	26	477217
248590	n/a      	999	509112
249830	n/a      	2	511652
250865	n/a      	24	513771
263102	n/a      	4	538833
264078	n/a      	14	540831
268509	n/a      	25	549907
282701	n/a      	5	578972
283381	n/a      	15	580365
284406	n/a      	26	582464
296930	n/a      	6	608112
297653	n/a      	16	609594
298685	n/a      	24	611706
311742	n/a      	4	638447
312533	n/a      	14	640068
313563	n/a      	23	642178
327138	n/a      	3	669979
328229	n/a      	13	672213
332637	n/a      	25	681240
346276	n/a      	5	709173
347020	n/a      	15	710697
353036	n/a      	23	723017
364591	n/a      	999	746682
367788	n/a      	2	753229
368816	n/a      	24	755335
380554	n/a      	4	779375
381396	n/a      	14	781098
382427	n/a      	26	783211
394250	n/a      	6	807423
398779	n/a      	16	816700
399809	n/a      	23	818808
410997	n/a      	3	841721
413123	n/a      	13	846076
414153	n/a      	24	848186
428544	n/a      	4	877658
430115	n/a      	14	880875
431134	n/a      	25	882962
444991	n/a      	5	911342
445723	n/a      	15	912840
446747	n/a      	26	914938
459554	n/a      	6	941166
460170	n/a      	16	942429
465562	n/a      	24	953471
476000	n/a      	999	974849
476754	n/a      	2	976392
477772	n/a      	23	978477
487026	n/a      	3	997429
488458	n/a      	13	1000362
492400	n/a      	26	1008436
505158	n/a      	6	1034564
506594	n/a      	16	1037504
507613	n/a      	25	1039591
520470	n/a      	999	1065923
523209	n/a      	2	1071533
524227	n/a      	24	1073617
537000	n/a      	4	1099777
539049	n/a      	14	1103972
540073	n/a      	23	1106070
552564	n/a      	3	1131651
553033	n/a      	13	1132611
554051	n/a      	25	1134697
567443	n/a      	5	1162124
568617	n/a      	15	1164527
569648	n/a      	23	1166639
583457	n/a      	3	1194919
584200	n/a      	13	1196442
588096	n/a      	26	1204421
601104	n/a      	6	1231060
602040	n/a      	16	1232978
603059	n/a      	23	1235064
614615	n/a      	3	1258731
615672	n/a      	13	1260896
616704	n/a      	25	1263009
633013	n/a      	5	1296411
633671	n/a      	15	1297759
634702	n/a      	26	1299869
645824	n/a      	6	1322648
646479	n/a      	16	1323990
651055	n/a      	23	1333361
665588	n/a      	999	1363125
666422	n/a      	2	1364833
667443	n/a      	25	1366923
679683	n/a      	5	1391990
680134	n/a      	15	1392915
681154	n/a      	24	1395004
695446	n/a      	999	1424273
695950	n/a      	2	1425306
696983	n/a      	26	1427422
708540	n/a      	6	1451090
709206	n/a      	16	1452453
710228	n/a      	26	1454546
722285	n/a      	6	1479240
723397	n/a      	16	1481518
728411	n/a      	23	1491785
741801	n/a      	999	1519209
742989	n/a      	2	1521642
744022	n/a      	26	1523758
756764	n/a      	6	1549852
757965	n/a      	16	1552312
758986	n/a      	24	1554403
771893	n/a      	999	1580837
772389	n/a      	2	1581852
775431	n/a      	23	1588083
789290	n/a      	999	1616466
789732	n/a      	2	1617372
790760	n/a      	23	1619477
806120	n/a      	999	1650934
807036	n/a      	2	1652810
808059	n/a      	25	1654904
821701	n/a      	5	1682843
822236	n/a      	15	1683939
823255	n/a      	24	1686026
832226	n/a      	4	1704398
833100	n/a      	14	1706188
834130	n/a      	25	1708298
845320	n/a      	5	1731215
845923	n/a      	15	1732451
848809	n/a      	25	1738360
859932	n/a      	5	1761141
860795	n/a      	15	1762909
861818	n/a      	26	1765004
874728	n/a      	6	1791442
875603	n/a      	16	1793235
876631	n/a      	23	1795340
889757	n/a      	3	1822222
890123	n/a      	13	1822972
893162	n/a      	25	1829195
905820	n/a      	999	1855119
906467	n/a      	2	1856444
907491	n/a      	26	1858542
920315	n/a      	6	1884805
921227	n/a      	16	1886672
