onset	duration	type	sample
2244	n/a      	25	1149
13389	n/a      	999	6855
14748	n/a      	2	7551
15777	n/a      	24	8078
30170	n/a      	4	15447
31754	n/a      	14	16258
32773	n/a      	25	16780
46582	n/a      	999	23850
48242	n/a      	2	24700
52289	n/a      	23	26772
64781	n/a      	3	33168
66010	n/a      	13	33797
67035	n/a      	24	34322
79928	n/a      	4	40923
81328	n/a      	14	41640
82350	n/a      	26	42163
94172	n/a      	999	48216
95770	n/a      	2	49034
96793	n/a      	23	49558
110053	n/a      	3	56347
111467	n/a      	13	57071
117246	n/a      	25	60030
129885	n/a      	5	66501
131328	n/a      	15	67240
132357	n/a      	24	67767
143914	n/a      	4	73684
146408	n/a      	14	74961
147438	n/a      	26	75488
161346	n/a      	6	82609
164648	n/a      	16	84300
165668	n/a      	23	84822
179143	n/a      	3	91721
180248	n/a      	13	92287
181281	n/a      	24	92816
194338	n/a      	4	99501
197344	n/a      	14	101040
203217	n/a      	26	104047
215289	n/a      	999	110228
216359	n/a      	2	110776
217395	n/a      	23	111306
228383	n/a      	3	116932
232928	n/a      	13	119259
233959	n/a      	25	119787
246299	n/a      	999	126105
248840	n/a      	2	127406
249871	n/a      	26	127934
263346	n/a      	6	134833
264584	n/a      	16	135467
265617	n/a      	23	135996
276506	n/a      	3	141571
277576	n/a      	13	142119
278596	n/a      	25	142641
292219	n/a      	5	149616
292990	n/a      	15	150011
294025	n/a      	24	150541
302979	n/a      	4	155125
304205	n/a      	14	155753
305234	n/a      	26	156280
317291	n/a      	6	162453
318582	n/a      	16	163114
331340	n/a      	23	169646
343350	n/a      	3	175795
344486	n/a      	13	176377
345506	n/a      	26	176899
358195	n/a      	6	183396
359365	n/a      	16	183995
360383	n/a      	25	184516
372842	n/a      	5	190895
373844	n/a      	15	191408
374863	n/a      	24	191930
387102	n/a      	999	198196
388076	n/a      	2	198695
391926	n/a      	23	200666
405518	n/a      	3	207625
406492	n/a      	13	208124
407523	n/a      	26	208652
421715	n/a      	6	215918
423004	n/a      	16	216578
424035	n/a      	24	217106
435994	n/a      	4	223229
437322	n/a      	14	223909
438348	n/a      	23	224434
453742	n/a      	3	232316
455051	n/a      	13	232986
456080	n/a      	26	233513
469820	n/a      	6	240548
470891	n/a      	16	241096
474043	n/a      	25	242710
488236	n/a      	5	249977
490338	n/a      	15	251053
491357	n/a      	23	251575
506184	n/a      	3	259166
507436	n/a      	13	259807
511877	n/a      	23	262081
523064	n/a      	3	267809
524227	n/a      	13	268404
525254	n/a      	26	268930
540830	n/a      	999	276905
543162	n/a      	2	278099
544188	n/a      	24	278624
556959	n/a      	999	285163
560746	n/a      	2	287102
561768	n/a      	25	287625
573357	n/a      	5	293559
574408	n/a      	15	294097
575430	n/a      	24	294620
587053	n/a      	4	300571
588121	n/a      	14	301118
589141	n/a      	25	301640
602230	n/a      	5	308342
603031	n/a      	15	308752
605754	n/a      	26	310146
619527	n/a      	6	317198
621666	n/a      	16	318293
622682	n/a      	23	318813
635691	n/a      	3	325474
636400	n/a      	13	325837
637430	n/a      	25	326364
651488	n/a      	5	333562
653111	n/a      	15	334393
657447	n/a      	23	336613
671609	n/a      	3	343864
672654	n/a      	13	344399
673680	n/a      	25	344924
685404	n/a      	999	350927
686559	n/a      	2	351518
687592	n/a      	25	352047
700434	n/a      	5	358622
701732	n/a      	15	359287
705607	n/a      	23	361271
720500	n/a      	3	368896
721375	n/a      	13	369344
722404	n/a      	26	369871
734379	n/a      	6	376002
736189	n/a      	16	376929
737215	n/a      	24	377454
751643	n/a      	4	384841
753053	n/a      	14	385563
759586	n/a      	26	388908
772494	n/a      	6	395517
773430	n/a      	16	395996
774447	n/a      	24	396517
787539	n/a      	4	403220
788707	n/a      	14	403818
789729	n/a      	23	404341
802869	n/a      	3	411069
804668	n/a      	13	411990
805691	n/a      	23	412514
819832	n/a      	999	419754
822732	n/a      	2	421239
828359	n/a      	25	424120
841350	n/a      	5	430771
843139	n/a      	15	431687
844172	n/a      	24	432216
857463	n/a      	4	439021
858674	n/a      	14	439641
859703	n/a      	25	440168
873025	n/a      	5	446989
874441	n/a      	15	447714
875465	n/a      	26	448238
888305	n/a      	6	454812
889195	n/a      	16	455268
893412	n/a      	25	457427
904586	n/a      	5	463148
905818	n/a      	15	463779
906840	n/a      	23	464302
918848	n/a      	3	470450
919914	n/a      	13	470996
920936	n/a      	26	471519
932709	n/a      	999	477547
933451	n/a      	2	477927
934480	n/a      	24	478454
947588	n/a      	4	485165
948744	n/a      	14	485757
949777	n/a      	26	486286
964186	n/a      	6	493663
965379	n/a      	16	494274
966404	n/a      	25	494799
978965	n/a      	5	501230
980328	n/a      	15	501928
984602	n/a      	23	504116
996350	n/a      	3	510131
997672	n/a      	13	510808
1001689	n/a      	25	512865
1014396	n/a      	5	519371
1015479	n/a      	15	519925
1016502	n/a      	26	520449
1029242	n/a      	6	526972
1030463	n/a      	16	527597
1031496	n/a      	24	528126
1044104	n/a      	4	534581
1045326	n/a      	14	535207
1046359	n/a      	23	535736
1057916	n/a      	3	541653
1059135	n/a      	13	542277
1060154	n/a      	26	542799
1073111	n/a      	6	549433
1074814	n/a      	16	550305
1075832	n/a      	26	550826
1088676	n/a      	999	557402
1089895	n/a      	2	558026
1094734	n/a      	24	560504
1105172	n/a      	4	565848
1106125	n/a      	14	566336
1107160	n/a      	25	566866
1119400	n/a      	5	573133
1120076	n/a      	15	573479
1121105	n/a      	23	574006
1134596	n/a      	3	580913
1135311	n/a      	13	581279
1136334	n/a      	26	581803
1149141	n/a      	999	588360
1150365	n/a      	2	588987
1151398	n/a      	25	589516
1163703	n/a      	5	595816
1165061	n/a      	15	596511
1169629	n/a      	23	598850
1182553	n/a      	3	605467
1183316	n/a      	13	605858
1184340	n/a      	24	606382
1196080	n/a      	4	612393
1197195	n/a      	14	612964
1200619	n/a      	26	614717
1214529	n/a      	6	621839
