onset	duration	type	sample
1834	n/a      	23	939
13926	n/a      	3	7130
14883	n/a      	13	7620
21854	n/a      	23	11189
34859	n/a      	3	17848
35924	n/a      	13	18393
36947	n/a      	26	18917
48670	n/a      	6	24919
49436	n/a      	16	25311
50457	n/a      	23	25834
64582	n/a      	3	33066
67451	n/a      	13	34535
68475	n/a      	25	35059
81314	n/a      	5	41633
82586	n/a      	15	42284
83619	n/a      	23	42813
99012	n/a      	3	50694
100059	n/a      	13	51230
101086	n/a      	24	51756
113039	n/a      	4	57876
114160	n/a      	14	58450
115195	n/a      	26	58980
127770	n/a      	6	65418
128746	n/a      	16	65918
133559	n/a      	25	68382
146117	n/a      	5	74812
147000	n/a      	15	75264
148023	n/a      	25	75788
161113	n/a      	5	82490
161799	n/a      	15	82841
165086	n/a      	24	84524
176709	n/a      	4	90475
177920	n/a      	14	91095
178947	n/a      	23	91621
193689	n/a      	3	99169
194297	n/a      	13	99480
195328	n/a      	26	100008
206852	n/a      	6	105908
207752	n/a      	16	106369
208771	n/a      	25	106891
222830	n/a      	5	114089
223910	n/a      	15	114642
224936	n/a      	26	115167
240512	n/a      	6	123142
242695	n/a      	16	124260
243715	n/a      	24	124782
255959	n/a      	4	131051
260102	n/a      	14	133172
267156	n/a      	25	136784
281346	n/a      	5	144049
282334	n/a      	15	144555
283369	n/a      	26	145085
295893	n/a      	6	151497
297574	n/a      	16	152358
298598	n/a      	24	152882
311654	n/a      	4	159567
312830	n/a      	14	160169
313861	n/a      	23	160697
327451	n/a      	3	167655
328471	n/a      	13	168177
334838	n/a      	25	171437
348473	n/a      	5	178418
349236	n/a      	15	178809
351859	n/a      	23	180152
363416	n/a      	3	186069
364174	n/a      	13	186457
365205	n/a      	24	186985
376928	n/a      	4	192987
377813	n/a      	14	193440
378832	n/a      	26	193962
390758	n/a      	6	200068
393125	n/a      	2	201280
394143	n/a      	23	201801
405334	n/a      	3	207531
406316	n/a      	13	208034
407338	n/a      	24	208557
421732	n/a      	4	215927
422906	n/a      	14	216528
423936	n/a      	25	217055
437795	n/a      	5	224151
438539	n/a      	15	224532
439566	n/a      	26	225058
452373	n/a      	6	231615
453027	n/a      	16	231950
457246	n/a      	24	234110
467688	n/a      	4	239456
