onset	duration	type	sample
1732	n/a      	25	887
13021	n/a      	5	6667
15010	n/a      	15	7685
16043	n/a      	24	8214
30436	n/a      	999	15583
33283	n/a      	2	17041
34309	n/a      	25	17566
47951	n/a      	5	24551
49953	n/a      	15	25576
54459	n/a      	23	27883
67016	n/a      	3	34312
68691	n/a      	13	35170
69723	n/a      	24	35698
82613	n/a      	999	42298
84658	n/a      	2	43345
85684	n/a      	26	43870
97508	n/a      	6	49924
99041	n/a      	16	50709
100063	n/a      	23	51232
113338	n/a      	3	58029
115234	n/a      	13	59000
121031	n/a      	25	61968
133688	n/a      	5	68448
135480	n/a      	15	69366
136512	n/a      	24	69894
148066	n/a      	4	75810
151225	n/a      	14	77427
152258	n/a      	26	77956
166166	n/a      	6	85077
167785	n/a      	16	85906
168803	n/a      	23	86427
182195	n/a      	3	93284
183336	n/a      	13	93868
184367	n/a      	24	94396
197523	n/a      	999	101132
198977	n/a      	2	101876
203332	n/a      	26	104106
215406	n/a      	6	110288
216969	n/a      	16	111088
217994	n/a      	23	111613
228984	n/a      	3	117240
229896	n/a      	13	117707
230922	n/a      	25	118232
243262	n/a      	5	124550
244430	n/a      	15	125148
245451	n/a      	26	125671
258926	n/a      	6	132570
259814	n/a      	16	133025
260846	n/a      	23	133553
271637	n/a      	3	139078
273119	n/a      	13	139837
274141	n/a      	25	140360
287766	n/a      	5	147336
289541	n/a      	15	148245
290572	n/a      	24	148773
299543	n/a      	999	153366
300879	n/a      	2	154050
301896	n/a      	26	154571
313953	n/a      	999	160744
317006	n/a      	2	162307
324252	n/a      	23	166017
336258	n/a      	3	172164
337414	n/a      	13	172756
338445	n/a      	26	173284
351152	n/a      	6	179790
352670	n/a      	16	180567
353691	n/a      	25	181090
365998	n/a      	5	187391
367164	n/a      	15	187988
368188	n/a      	24	188512
380428	n/a      	999	194779
381477	n/a      	2	195316
385301	n/a      	23	197274
398893	n/a      	3	204233
400020	n/a      	13	204810
401047	n/a      	26	205336
415240	n/a      	6	212603
416717	n/a      	16	213359
417742	n/a      	24	213884
429701	n/a      	4	220007
432818	n/a      	14	221603
433842	n/a      	23	222127
449234	n/a      	3	230008
450467	n/a      	13	230639
451490	n/a      	26	231163
465230	n/a      	6	238198
466516	n/a      	16	238856
471404	n/a      	25	241359
485598	n/a      	5	248626
486697	n/a      	15	249189
487721	n/a      	23	249713
502461	n/a      	3	257260
503516	n/a      	13	257800
507518	n/a      	23	259849
518709	n/a      	3	265579
519699	n/a      	13	266086
520729	n/a      	26	266613
536307	n/a      	6	274589
537570	n/a      	16	275236
538594	n/a      	24	275760
551369	n/a      	999	282301
553994	n/a      	2	283645
555025	n/a      	25	284173
566615	n/a      	5	290107
568408	n/a      	15	291025
569436	n/a      	24	291551
581061	n/a      	4	297503
582840	n/a      	14	298414
583865	n/a      	25	298939
596957	n/a      	5	305642
598344	n/a      	15	306352
602047	n/a      	26	308248
615822	n/a      	6	315301
616762	n/a      	16	315782
617791	n/a      	23	316309
630801	n/a      	3	322970
632201	n/a      	13	323687
633223	n/a      	25	324210
647281	n/a      	5	331408
648855	n/a      	15	332214
654545	n/a      	23	335127
668734	n/a      	3	342392
670135	n/a      	13	343109
671156	n/a      	25	343632
682879	n/a      	999	349634
684287	n/a      	2	350355
685318	n/a      	25	350883
698176	n/a      	5	357466
699029	n/a      	15	357903
703668	n/a      	23	360278
718576	n/a      	3	367911
720254	n/a      	13	368770
721281	n/a      	26	369296
733254	n/a      	6	375426
734262	n/a      	16	375942
735291	n/a      	24	376469
749736	n/a      	4	383865
751068	n/a      	14	384547
754691	n/a      	26	386402
767600	n/a      	6	393011
768518	n/a      	16	393481
769537	n/a      	24	394003
782613	n/a      	999	400698
783566	n/a      	2	401186
784582	n/a      	23	401706
797725	n/a      	999	408435
799957	n/a      	2	409578
800979	n/a      	23	410101
815105	n/a      	3	417334
816158	n/a      	13	417873
821182	n/a      	25	420445
834055	n/a      	5	427036
835131	n/a      	15	427587
836160	n/a      	24	428114
849451	n/a      	4	434919
850387	n/a      	14	435398
851424	n/a      	25	435929
864764	n/a      	5	442759
865707	n/a      	15	443242
866736	n/a      	26	443769
879492	n/a      	6	450300
880285	n/a      	16	450706
883348	n/a      	25	452274
894521	n/a      	5	457995
895146	n/a      	15	458315
896176	n/a      	23	458842
908184	n/a      	3	464990
909939	n/a      	13	465889
910971	n/a      	26	466417
922629	n/a      	6	472386
923828	n/a      	16	473000
924848	n/a      	24	473522
937957	n/a      	4	480234
940281	n/a      	14	481424
941313	n/a      	26	481952
955723	n/a      	6	489330
957314	n/a      	16	490145
958342	n/a      	25	490671
970902	n/a      	5	497102
971873	n/a      	15	497599
977539	n/a      	23	500500
989123	n/a      	3	506431
990338	n/a      	13	507053
994531	n/a      	25	509200
1007254	n/a      	5	515714
1009039	n/a      	15	516628
1010059	n/a      	26	517150
1022801	n/a      	6	523674
1024033	n/a      	16	524305
1025055	n/a      	24	524828
1037662	n/a      	4	531283
1039127	n/a      	14	532033
1040150	n/a      	23	532557
1051707	n/a      	3	538474
1052809	n/a      	13	539038
1053830	n/a      	26	539561
1066803	n/a      	6	546203
1067512	n/a      	16	546566
1068539	n/a      	26	547092
1081383	n/a      	6	553668
1082305	n/a      	16	554140
1086254	n/a      	24	556162
1096678	n/a      	4	561499
1097918	n/a      	14	562134
1098949	n/a      	25	562662
1111191	n/a      	5	568930
1112189	n/a      	15	569441
1113211	n/a      	23	569964
1126703	n/a      	3	576872
1127271	n/a      	13	577163
1128291	n/a      	26	577685
1141098	n/a      	6	584242
1142207	n/a      	16	584810
1143234	n/a      	25	585336
1155543	n/a      	5	591638
1156094	n/a      	15	591920
1159801	n/a      	23	593818
1172742	n/a      	999	600444
1173512	n/a      	2	600838
1174529	n/a      	24	601359
1186268	n/a      	4	607369
1187125	n/a      	14	607808
1192027	n/a      	26	610318
1205936	n/a      	6	617439
1207039	n/a      	16	618004
1208057	n/a      	25	618525
1219896	n/a      	5	624587
1220572	n/a      	15	624933
1221602	n/a      	23	625460
1234910	n/a      	3	632274
1235750	n/a      	13	632704
1236779	n/a      	23	633231
1249938	n/a      	3	639968
1250654	n/a      	13	640335
1251676	n/a      	25	640858
1263717	n/a      	5	647023
1264764	n/a      	15	647559
1265789	n/a      	24	648084
1278846	n/a      	4	654769
1279715	n/a      	14	655214
1283893	n/a      	24	657353
1299873	n/a      	4	665535
1300803	n/a      	14	666011
1301828	n/a      	24	666536
1314686	n/a      	4	673119
1316258	n/a      	14	673924
1317291	n/a      	26	674453
1328797	n/a      	6	680344
1330619	n/a      	16	681277
1333520	n/a      	23	682762
1342775	n/a      	3	687501
1343580	n/a      	13	687913
1344596	n/a      	25	688433
1360908	n/a      	5	696785
1361857	n/a      	15	697271
1362879	n/a      	24	697794
1377805	n/a      	4	705436
1378865	n/a      	14	705979
1379893	n/a      	26	706505
1392467	n/a      	6	712943
1393162	n/a      	16	713299
1394186	n/a      	25	713823
1407580	n/a      	5	720681
1408408	n/a      	15	721105
1413287	n/a      	23	723603
1425160	n/a      	3	729682
1426043	n/a      	13	730134
1427064	n/a      	23	730657
1440924	n/a      	3	737753
1441449	n/a      	13	738022
1442477	n/a      	25	738548
1454184	n/a      	5	744542
1454816	n/a      	15	744866
1455838	n/a      	24	745389
1466996	n/a      	4	751102
1467695	n/a      	14	751460
1471268	n/a      	26	753289
1484275	n/a      	6	759949
1485113	n/a      	16	760378
1486129	n/a      	23	760898
1497236	n/a      	999	766585
1497842	n/a      	2	766895
1498873	n/a      	26	767423
1512783	n/a      	6	774545
1514648	n/a      	16	775500
1515670	n/a      	24	776023
1530080	n/a      	4	783401
1531158	n/a      	14	783953
1532186	n/a      	25	784479
1545160	n/a      	5	791122
1546303	n/a      	15	791707
1547330	n/a      	23	792233
1558688	n/a      	999	798048
1559680	n/a      	2	798556
1562561	n/a      	25	800031
1576619	n/a      	5	807229
1577830	n/a      	15	807849
1578857	n/a      	26	808375
1592182	n/a      	6	815197
1593064	n/a      	16	815649
1597934	n/a      	23	818142
1611162	n/a      	3	824915
1612182	n/a      	13	825437
1613201	n/a      	25	825959
1625490	n/a      	5	832251
1626908	n/a      	15	832977
1627930	n/a      	23	833500
1640971	n/a      	3	840177
1641895	n/a      	13	840650
1646195	n/a      	26	842852
1659102	n/a      	6	849460
1660559	n/a      	16	850206
1661590	n/a      	23	850734
1673297	n/a      	3	856728
1674838	n/a      	13	857517
1675867	n/a      	26	858044
1687426	n/a      	6	863962
1688533	n/a      	16	864529
1692566	n/a      	23	866594
1706391	n/a      	3	873672
1708117	n/a      	13	874556
1709145	n/a      	26	875082
1723572	n/a      	6	882469
1725014	n/a      	16	883207
1726043	n/a      	25	883734
1738900	n/a      	5	890317
1739756	n/a      	15	890755
1740789	n/a      	23	891284
1756148	n/a      	3	899148
1756900	n/a      	13	899533
1762273	n/a      	26	902284
1773396	n/a      	6	907979
1774531	n/a      	16	908560
1775551	n/a      	23	909082
1789410	n/a      	3	916178
1790363	n/a      	13	916666
1791383	n/a      	24	917188
1805674	n/a      	4	924505
1807418	n/a      	14	925398
1808447	n/a      	26	925925
1820969	n/a      	6	932336
1821699	n/a      	16	932710
1822723	n/a      	25	933234
1836314	n/a      	5	940193
1836986	n/a      	15	940537
1840139	n/a      	23	942151
1854631	n/a      	3	949571
1855363	n/a      	13	949946
1856385	n/a      	25	950469
1870244	n/a      	5	957565
1871090	n/a      	15	957998
1872113	n/a      	24	958522
1883904	n/a      	4	964559
1884602	n/a      	14	964916
1885625	n/a      	23	965440
1898467	n/a      	3	972015
1899018	n/a      	13	972297
1900037	n/a      	25	972819
1912277	n/a      	5	979086
1912809	n/a      	15	979358
