onset	duration	type	sample
1396	n/a      	25	715
12654	n/a      	5	6479
16363	n/a      	15	8378
17398	n/a      	24	8908
31803	n/a      	4	16283
32979	n/a      	14	16885
34010	n/a      	25	17413
47648	n/a      	5	24396
48361	n/a      	15	24761
53559	n/a      	23	27422
66049	n/a      	3	33817
67299	n/a      	13	34457
68320	n/a      	24	34980
81211	n/a      	4	41580
82650	n/a      	14	42317
83684	n/a      	26	42846
95506	n/a      	6	48899
97059	n/a      	16	49694
98076	n/a      	23	50215
111336	n/a      	3	57004
113787	n/a      	13	58259
121717	n/a      	25	62319
134371	n/a      	5	68798
135354	n/a      	15	69301
136379	n/a      	24	69826
147932	n/a      	4	75741
149361	n/a      	14	76473
150391	n/a      	26	77000
164295	n/a      	6	84119
166041	n/a      	16	85013
167068	n/a      	23	85539
180477	n/a      	3	92404
181586	n/a      	13	92972
182617	n/a      	24	93500
195672	n/a      	4	100184
197512	n/a      	14	101126
201129	n/a      	26	102978
213203	n/a      	6	109160
215736	n/a      	16	110457
216758	n/a      	23	110980
227748	n/a      	3	116607
230273	n/a      	13	117900
231305	n/a      	25	118428
243645	n/a      	5	124746
244352	n/a      	15	125108
245383	n/a      	26	125636
258857	n/a      	6	132535
261041	n/a      	16	133653
262063	n/a      	23	134176
272936	n/a      	3	139743
274752	n/a      	13	140673
275773	n/a      	25	141196
289398	n/a      	5	148172
289990	n/a      	15	148475
291021	n/a      	24	149003
299975	n/a      	4	153587
301094	n/a      	14	154160
302113	n/a      	26	154682
314170	n/a      	6	160855
315646	n/a      	16	161611
325172	n/a      	23	166488
337150	n/a      	3	172621
338037	n/a      	13	173075
339057	n/a      	26	173597
351764	n/a      	6	180103
352980	n/a      	16	180726
354000	n/a      	25	181248
366309	n/a      	5	187550
366875	n/a      	15	187840
367896	n/a      	24	188363
380287	n/a      	4	194707
381738	n/a      	14	195450
388115	n/a      	23	198715
401703	n/a      	3	205672
403523	n/a      	13	206604
404545	n/a      	26	207127
418734	n/a      	6	214392
419813	n/a      	16	214944
420840	n/a      	24	215470
432797	n/a      	4	221592
434682	n/a      	14	222557
435703	n/a      	23	223080
451096	n/a      	3	230961
452355	n/a      	13	231606
453385	n/a      	26	232133
467125	n/a      	6	239168
468164	n/a      	16	239700
