onset	duration	type	sample
2041	n/a      	23	1045
14023	n/a      	999	7180
16363	n/a      	2	8378
25221	n/a      	23	12913
38227	n/a      	3	19572
39467	n/a      	13	20207
40498	n/a      	26	20735
52221	n/a      	6	26737
53643	n/a      	16	27465
54660	n/a      	23	27986
68801	n/a      	3	35226
69715	n/a      	13	35694
70742	n/a      	25	36220
83613	n/a      	5	42810
85320	n/a      	15	43684
86354	n/a      	23	44213
101746	n/a      	3	52094
103594	n/a      	13	53040
104619	n/a      	24	53565
116574	n/a      	4	59686
118088	n/a      	14	60461
119115	n/a      	26	60987
131688	n/a      	6	67424
132785	n/a      	16	67986
138178	n/a      	25	70747
150736	n/a      	5	77177
152264	n/a      	15	77959
153291	n/a      	25	78485
166383	n/a      	5	85188
167318	n/a      	15	85667
173342	n/a      	24	88751
184965	n/a      	4	94702
186279	n/a      	14	95375
187305	n/a      	23	95900
202027	n/a      	999	103438
203703	n/a      	2	104296
204734	n/a      	26	104824
216240	n/a      	6	110715
217225	n/a      	16	111219
218244	n/a      	25	111741
232303	n/a      	5	118939
233453	n/a      	15	119528
234477	n/a      	26	120052
250053	n/a      	6	128027
251000	n/a      	16	128512
252021	n/a      	24	129035
264264	n/a      	4	135303
265461	n/a      	14	135916
270656	n/a      	25	138576
284848	n/a      	5	145842
286590	n/a      	15	146734
287619	n/a      	26	147261
300143	n/a      	6	153673
301254	n/a      	16	154242
302281	n/a      	24	154768
315340	n/a      	4	161454
316205	n/a      	14	161897
317227	n/a      	23	162420
330818	n/a      	3	169379
332029	n/a      	13	169999
339838	n/a      	25	173997
353477	n/a      	999	180980
354924	n/a      	2	181721
359768	n/a      	23	184201
371326	n/a      	3	190119
373141	n/a      	13	191048
374164	n/a      	24	191572
385904	n/a      	4	197583
387082	n/a      	14	198186
388109	n/a      	26	198712
399934	n/a      	6	204766
401172	n/a      	16	205400
402203	n/a      	23	205928
413395	n/a      	3	211658
414229	n/a      	13	212085
415250	n/a      	24	212608
429641	n/a      	4	219976
431033	n/a      	14	220689
432063	n/a      	25	221216
445920	n/a      	5	228311
446826	n/a      	15	228775
447859	n/a      	26	229304
460666	n/a      	6	235861
461482	n/a      	16	236279
466506	n/a      	24	238851
476947	n/a      	4	244197
477984	n/a      	14	244728
479018	n/a      	23	245257
488271	n/a      	999	249995
489203	n/a      	2	250472
494730	n/a      	26	253302
507488	n/a      	6	259834
508250	n/a      	16	260224
509275	n/a      	25	260749
522133	n/a      	5	267332
522961	n/a      	15	267756
523990	n/a      	24	268283
536764	n/a      	4	274823
537775	n/a      	14	275341
538801	n/a      	23	275866
551291	n/a      	3	282261
552129	n/a      	13	282690
553164	n/a      	25	283220
566555	n/a      	5	290076
567256	n/a      	15	290435
568275	n/a      	23	290957
582084	n/a      	3	298027
582881	n/a      	13	298435
587006	n/a      	26	300547
600016	n/a      	6	307208
600809	n/a      	16	307614
601836	n/a      	23	308140
613393	n/a      	3	314057
