onset	duration	type	sample
1188	n/a      	23	2320
13170	n/a      	3	6743
15541	n/a      	13	7957
18594	n/a      	23	9520
31602	n/a      	3	16180
33668	n/a      	13	17238
34688	n/a      	26	17760
46414	n/a      	6	23764
48869	n/a      	16	25021
49885	n/a      	23	25541
64027	n/a      	3	32782
66123	n/a      	13	33855
67150	n/a      	25	34381
80008	n/a      	5	40964
82314	n/a      	15	42145
83346	n/a      	23	42673
98740	n/a      	3	50555
100643	n/a      	13	51529
101662	n/a      	24	52051
113619	n/a      	4	58173
115578	n/a      	14	59176
116607	n/a      	26	59703
129182	n/a      	6	66141
132092	n/a      	16	67631
136240	n/a      	25	69755
148799	n/a      	5	76185
152082	n/a      	15	77866
153105	n/a      	25	78390
166195	n/a      	999	85092
168299	n/a      	2	86169
172137	n/a      	24	88134
183762	n/a      	4	94086
186225	n/a      	14	95347
187250	n/a      	23	95872
201975	n/a      	3	103411
203898	n/a      	13	104396
204932	n/a      	26	104925
216455	n/a      	6	110825
218426	n/a      	16	111834
219441	n/a      	25	112354
233502	n/a      	5	119553
235336	n/a      	15	120492
236357	n/a      	26	121015
251934	n/a      	6	128990
253656	n/a      	16	129872
254688	n/a      	24	130400
266930	n/a      	4	136668
270287	n/a      	14	138387
275424	n/a      	25	141017
289615	n/a      	5	148283
291295	n/a      	15	149143
292320	n/a      	26	149668
304844	n/a      	6	156080
306625	n/a      	16	156992
307648	n/a      	24	157516
320707	n/a      	4	164202
322525	n/a      	14	165133
323547	n/a      	23	165656
337121	n/a      	3	172606
338920	n/a      	13	173527
344326	n/a      	25	176295
357939	n/a      	5	183265
359789	n/a      	15	184212
362846	n/a      	23	185777
374402	n/a      	3	191694
375967	n/a      	13	192495
376990	n/a      	24	193019
388730	n/a      	4	199030
390564	n/a      	14	199969
391586	n/a      	26	200492
403410	n/a      	6	206546
405461	n/a      	16	207596
406480	n/a      	23	208118
417672	n/a      	3	213848
419189	n/a      	13	214625
420209	n/a      	24	215147
434602	n/a      	4	222516
436363	n/a      	14	223418
437391	n/a      	25	223944
451248	n/a      	5	231039
452818	n/a      	15	231843
453854	n/a      	26	232373
466662	n/a      	6	238931
468613	n/a      	16	239930
472402	n/a      	24	241870
482842	n/a      	4	247215
484658	n/a      	14	248145
485682	n/a      	23	248669
494936	n/a      	3	253407
496980	n/a      	13	254454
500309	n/a      	26	256158
513066	n/a      	6	262690
514988	n/a      	16	263674
516004	n/a      	25	264194
528881	n/a      	5	270787
530635	n/a      	15	271685
531668	n/a      	24	272214
544443	n/a      	4	278755
546217	n/a      	14	279663
547248	n/a      	23	280191
559723	n/a      	3	286578
561467	n/a      	13	287471
562494	n/a      	25	287997
575887	n/a      	5	294854
577418	n/a      	15	295638
578441	n/a      	23	296162
592250	n/a      	3	303232
593883	n/a      	13	304068
598473	n/a      	26	306418
611498	n/a      	6	313087
613281	n/a      	16	314000
614303	n/a      	23	314523
625861	n/a      	3	320441
627434	n/a      	13	321246
628465	n/a      	25	321774
644775	n/a      	5	330125
646352	n/a      	15	330932
647381	n/a      	26	331459
658486	n/a      	6	337145
660154	n/a      	16	337999
664791	n/a      	23	340373
679307	n/a      	3	347805
680951	n/a      	13	348647
681979	n/a      	25	349173
694203	n/a      	5	355432
695814	n/a      	15	356257
