onset	duration	type	sample
1703	n/a      	25	872
12891	n/a      	999	6600
14254	n/a      	2	7298
15281	n/a      	24	7824
29672	n/a      	4	15192
30709	n/a      	14	15723
31746	n/a      	25	16254
45367	n/a      	5	23228
46324	n/a      	15	23718
52311	n/a      	23	26783
64801	n/a      	3	33178
65861	n/a      	13	33721
66889	n/a      	24	34247
79779	n/a      	4	40847
81324	n/a      	14	41638
82352	n/a      	26	42164
94176	n/a      	999	48218
94908	n/a      	2	48593
95928	n/a      	23	49115
109188	n/a      	999	55904
110908	n/a      	2	56785
119535	n/a      	25	61202
132189	n/a      	5	67681
133219	n/a      	15	68208
134248	n/a      	24	68735
145801	n/a      	4	74650
146779	n/a      	14	75151
147809	n/a      	26	75678
161715	n/a      	6	82798
163123	n/a      	16	83519
164154	n/a      	23	84047
177527	n/a      	999	90894
179730	n/a      	2	92022
180752	n/a      	24	92545
193807	n/a      	4	99229
194857	n/a      	14	99767
199047	n/a      	26	101912
211121	n/a      	6	108094
212771	n/a      	16	108939
213793	n/a      	23	109462
224783	n/a      	999	115089
225674	n/a      	2	115545
226703	n/a      	25	116072
239045	n/a      	5	122391
239777	n/a      	15	122766
240799	n/a      	26	123289
254273	n/a      	999	130188
255146	n/a      	2	130635
256178	n/a      	23	131163
266969	n/a      	999	136688
268066	n/a      	2	137250
269090	n/a      	25	137774
282715	n/a      	5	144750
283336	n/a      	15	145068
284369	n/a      	24	145597
293322	n/a      	4	150181
294111	n/a      	14	150585
295145	n/a      	26	151114
307201	n/a      	6	157287
307922	n/a      	16	157656
315719	n/a      	23	161648
327707	n/a      	999	167786
329592	n/a      	2	168751
330611	n/a      	26	169273
343320	n/a      	999	175780
344039	n/a      	2	176148
345059	n/a      	25	176670
357365	n/a      	5	182971
358086	n/a      	15	183340
359119	n/a      	24	183869
371359	n/a      	4	190136
372311	n/a      	14	190623
376033	n/a      	23	192529
389625	n/a      	999	199488
390535	n/a      	2	199954
391561	n/a      	26	200479
405756	n/a      	6	207747
406551	n/a      	16	208154
407574	n/a      	24	208678
419533	n/a      	4	214801
420742	n/a      	14	215420
421771	n/a      	23	215947
437164	n/a      	999	223828
437951	n/a      	2	224231
438967	n/a      	26	224751
452709	n/a      	6	231787
453670	n/a      	16	232279
457299	n/a      	25	234137
471492	n/a      	5	241404
472205	n/a      	15	241769
473230	n/a      	23	242294
487973	n/a      	999	249842
488438	n/a      	2	250080
491711	n/a      	23	251756
502902	n/a      	999	257486
503396	n/a      	2	257739
504420	n/a      	26	258263
519998	n/a      	6	266239
521037	n/a      	16	266771
522068	n/a      	24	267299
534846	n/a      	4	273841
535523	n/a      	14	274188
536549	n/a      	25	274713
548139	n/a      	5	280647
548898	n/a      	15	281036
549928	n/a      	24	281563
561551	n/a      	4	287514
564299	n/a      	14	288921
565322	n/a      	25	289445
578414	n/a      	5	296148
579604	n/a      	15	296757
582938	n/a      	26	298464
596713	n/a      	6	305517
597412	n/a      	16	305875
598432	n/a      	23	306397
611441	n/a      	3	313058
612699	n/a      	13	313702
613729	n/a      	25	314229
627789	n/a      	5	321428
628361	n/a      	15	321721
634363	n/a      	23	324794
648516	n/a      	999	332040
649338	n/a      	2	332461
650369	n/a      	25	332989
662094	n/a      	999	338992
662674	n/a      	2	339289
663697	n/a      	25	339813
676557	n/a      	5	346397
677121	n/a      	15	346686
680646	n/a      	23	348491
695555	n/a      	3	356124
697475	n/a      	13	357107
698494	n/a      	26	357629
710484	n/a      	999	363768
711266	n/a      	2	364168
712287	n/a      	24	364691
726715	n/a      	4	372078
727672	n/a      	14	372568
731338	n/a      	26	374445
744246	n/a      	6	381054
745152	n/a      	16	381518
746182	n/a      	24	382045
759275	n/a      	999	388749
760209	n/a      	2	389227
761229	n/a      	23	389749
774354	n/a      	999	396469
775920	n/a      	2	397271
776941	n/a      	23	397794
791084	n/a      	3	405035
792000	n/a      	13	405504
795189	n/a      	25	407137
808064	n/a      	5	413729
808830	n/a      	15	414121
809852	n/a      	24	414644
823145	n/a      	999	421450
823912	n/a      	2	421843
824932	n/a      	25	422365
838273	n/a      	5	429196
838879	n/a      	15	429506
839910	n/a      	26	430034
852668	n/a      	6	436566
853543	n/a      	16	437014
857709	n/a      	25	439147
868883	n/a      	5	444868
869869	n/a      	15	445373
870902	n/a      	23	445902
882910	n/a      	999	452050
883863	n/a      	2	452538
884879	n/a      	26	453058
896537	n/a      	6	459027
897479	n/a      	16	459509
898508	n/a      	24	460036
911617	n/a      	4	466748
912557	n/a      	14	467229
913590	n/a      	26	467758
927998	n/a      	6	475135
929398	n/a      	16	475852
930418	n/a      	25	476374
942977	n/a      	5	482804
943805	n/a      	15	483228
948324	n/a      	23	485542
959922	n/a      	3	491480
961004	n/a      	13	492034
964078	n/a      	25	493608
976805	n/a      	5	500124
977754	n/a      	15	500610
978775	n/a      	26	501133
991516	n/a      	6	507656
992436	n/a      	16	508127
993453	n/a      	24	508648
1006063	n/a      	4	515104
1006889	n/a      	14	515527
1007916	n/a      	23	516053
1019473	n/a      	3	521970
1020371	n/a      	13	522430
1021393	n/a      	26	522953
1034352	n/a      	6	529588
1035258	n/a      	16	530052
1036287	n/a      	26	530579
1049131	n/a      	6	537155
1050025	n/a      	16	537613
1053051	n/a      	24	539162
1063492	n/a      	4	544508
1064424	n/a      	14	544985
1065447	n/a      	25	545509
1077688	n/a      	5	551776
1078232	n/a      	15	552055
1079258	n/a      	23	552580
1092750	n/a      	999	559488
1094090	n/a      	2	560174
1095119	n/a      	26	560701
1107930	n/a      	6	567260
1108770	n/a      	16	567690
1109799	n/a      	25	568217
1122107	n/a      	5	574519
1122729	n/a      	15	574837
1126096	n/a      	23	576561
1139037	n/a      	3	583187
1139881	n/a      	13	583619
1140908	n/a      	24	584145
1152650	n/a      	4	590157
1153527	n/a      	14	590606
1156805	n/a      	26	592284
1170730	n/a      	6	599414
1171561	n/a      	16	599839
1172584	n/a      	25	600363
1184426	n/a      	5	606426
1185094	n/a      	15	606768
1186113	n/a      	23	607290
1199422	n/a      	999	614104
1200182	n/a      	2	614493
1201209	n/a      	23	615019
