onset	duration	type	sample
2346	n/a      	25	1201
13494	n/a      	999	6909
14426	n/a      	2	7386
15449	n/a      	24	7910
29842	n/a      	4	15279
30623	n/a      	14	15679
31646	n/a      	25	16203
45287	n/a      	5	23187
45840	n/a      	15	23470
49494	n/a      	23	25341
61984	n/a      	3	31736
62961	n/a      	13	32236
63988	n/a      	24	32762
76881	n/a      	4	39363
77951	n/a      	14	39911
78984	n/a      	26	40440
90809	n/a      	6	46494
91488	n/a      	16	46842
92512	n/a      	23	47366
105771	n/a      	3	54155
106529	n/a      	13	54543
113732	n/a      	25	58231
126389	n/a      	5	64711
126775	n/a      	15	64909
127811	n/a      	24	65439
139365	n/a      	4	71355
140150	n/a      	14	71757
141174	n/a      	26	72281
155063	n/a      	6	79392
156047	n/a      	16	79896
157068	n/a      	23	80419
170441	n/a      	3	87266
171119	n/a      	13	87613
172148	n/a      	24	88140
185203	n/a      	4	94824
186398	n/a      	14	95436
195869	n/a      	26	100285
207939	n/a      	6	106465
208494	n/a      	16	106749
209529	n/a      	23	107279
220518	n/a      	3	112905
220975	n/a      	13	113139
222008	n/a      	25	113668
234344	n/a      	999	119984
235277	n/a      	2	120462
236301	n/a      	26	120986
249773	n/a      	999	127884
250471	n/a      	2	128241
251498	n/a      	23	128767
262285	n/a      	3	134290
262990	n/a      	13	134651
264025	n/a      	25	135181
277646	n/a      	5	142155
278084	n/a      	15	142379
279121	n/a      	24	142910
288072	n/a      	999	147493
288582	n/a      	2	147754
289611	n/a      	26	148281
301666	n/a      	6	154453
302189	n/a      	16	154721
312738	n/a      	23	160122
324734	n/a      	3	166264
325412	n/a      	13	166611
326439	n/a      	26	167137
339146	n/a      	999	173643
340299	n/a      	2	174233
341318	n/a      	25	174755
353625	n/a      	5	181056
354305	n/a      	15	181404
355332	n/a      	24	181930
367570	n/a      	999	188196
368787	n/a      	2	188819
375063	n/a      	23	192032
388637	n/a      	3	198982
389986	n/a      	13	199673
391010	n/a      	26	200197
405201	n/a      	6	207463
405850	n/a      	16	207795
406871	n/a      	24	208318
418828	n/a      	4	214440
419984	n/a      	14	215032
421018	n/a      	23	215561
436410	n/a      	3	223442
436906	n/a      	13	223696
437932	n/a      	26	224221
451672	n/a      	999	231256
452488	n/a      	2	231674
457799	n/a      	25	234393
471990	n/a      	5	241659
472607	n/a      	15	241975
473629	n/a      	23	242498
488369	n/a      	3	250045
489281	n/a      	13	250512
496730	n/a      	23	254326
507918	n/a      	3	260054
509129	n/a      	13	260674
510160	n/a      	26	261202
525734	n/a      	6	269176
526225	n/a      	16	269427
527254	n/a      	24	269954
540029	n/a      	4	276495
540574	n/a      	14	276774
541602	n/a      	25	277300
553189	n/a      	5	283233
553605	n/a      	15	283446
554629	n/a      	24	283970
566250	n/a      	4	289920
567029	n/a      	14	290319
568057	n/a      	25	290845
581146	n/a      	5	297547
581877	n/a      	15	297921
586688	n/a      	26	300384
600463	n/a      	6	307437
600951	n/a      	16	307687
601982	n/a      	23	308215
614990	n/a      	3	314875
615711	n/a      	13	315244
616730	n/a      	25	315766
630787	n/a      	5	322963
631277	n/a      	15	323214
635631	n/a      	23	325443
649799	n/a      	3	332697
650582	n/a      	13	333098
651605	n/a      	25	333622
663328	n/a      	999	339624
664053	n/a      	2	339995
665082	n/a      	25	340522
677957	n/a      	5	347114
678988	n/a      	15	347642
687871	n/a      	23	352190
702777	n/a      	3	359822
703301	n/a      	13	360090
704334	n/a      	26	360619
716322	n/a      	6	366757
717965	n/a      	16	367598
718994	n/a      	24	368125
733436	n/a      	4	375519
734162	n/a      	14	375891
740529	n/a      	26	379151
753436	n/a      	6	385759
754100	n/a      	16	386099
755123	n/a      	24	386623
768215	n/a      	4	393326
770066	n/a      	14	394274
771088	n/a      	23	394797
784211	n/a      	3	401516
784891	n/a      	13	401864
785918	n/a      	23	402390
800057	n/a      	999	409629
801123	n/a      	2	410175
807018	n/a      	25	413193
819891	n/a      	999	419784
821020	n/a      	2	420362
822047	n/a      	24	420888
835336	n/a      	4	427692
836178	n/a      	14	428123
837209	n/a      	25	428651
850549	n/a      	5	435481
851682	n/a      	15	436061
852705	n/a      	26	436585
865461	n/a      	6	443116
866211	n/a      	16	443500
870852	n/a      	25	445876
882043	n/a      	5	451606
882576	n/a      	15	451879
883596	n/a      	23	452401
895604	n/a      	999	458549
896633	n/a      	2	459076
897656	n/a      	26	459600
909314	n/a      	6	465569
910002	n/a      	16	465921
911018	n/a      	24	466441
924127	n/a      	4	473153
924984	n/a      	14	473592
926016	n/a      	26	474120
940424	n/a      	6	481497
941602	n/a      	16	482100
942627	n/a      	25	482625
955186	n/a      	999	489055
955840	n/a      	2	489390
959895	n/a      	23	491466
971498	n/a      	3	497407
972256	n/a      	13	497795
976320	n/a      	25	499876
989027	n/a      	5	506382
990045	n/a      	15	506903
991066	n/a      	26	507426
1003807	n/a      	6	513949
1004855	n/a      	16	514486
1005877	n/a      	24	515009
1018486	n/a      	4	521465
1019117	n/a      	14	521788
1020141	n/a      	23	522312
1031697	n/a      	3	528229
1032502	n/a      	13	528641
1033535	n/a      	26	529170
1046510	n/a      	6	535813
1047703	n/a      	16	536424
1048730	n/a      	26	536950
1061555	n/a      	999	543516
1062166	n/a      	2	543829
1068098	n/a      	24	546866
1078537	n/a      	4	552211
1079309	n/a      	14	552606
1080342	n/a      	25	553135
1092582	n/a      	5	559402
1093045	n/a      	15	559639
1094070	n/a      	23	560164
1107561	n/a      	3	567071
1108166	n/a      	13	567381
1109199	n/a      	26	567910
1122006	n/a      	6	574467
1122750	n/a      	16	574848
1123777	n/a      	25	575374
1136084	n/a      	5	581675
1137348	n/a      	15	582322
1143461	n/a      	23	585452
1156385	n/a      	3	592069
1157117	n/a      	13	592444
1158139	n/a      	24	592967
1169879	n/a      	4	598978
1171051	n/a      	14	599578
1175920	n/a      	26	602071
1189828	n/a      	6	609192
1190492	n/a      	16	609532
1191516	n/a      	25	610056
1203355	n/a      	999	616118
1204004	n/a      	2	616450
1205027	n/a      	23	616974
1218336	n/a      	999	623788
1218979	n/a      	2	624117
1220006	n/a      	23	624643
1233164	n/a      	3	631380
1233979	n/a      	13	631797
1235002	n/a      	25	632321
1247043	n/a      	5	638486
1248281	n/a      	15	639120
1249314	n/a      	24	639649
1262371	n/a      	4	646334
1263305	n/a      	14	646812
1268506	n/a      	24	649475
1284490	n/a      	4	657659
1285150	n/a      	14	657997
1286178	n/a      	24	658523
1299035	n/a      	4	665106
1300246	n/a      	14	665726
1301275	n/a      	26	666253
1312779	n/a      	6	672143
1313768	n/a      	16	672649
1319422	n/a      	23	675544
1328676	n/a      	3	680282
1329367	n/a      	13	680636
1330398	n/a      	25	681164
1346709	n/a      	5	689515
1347494	n/a      	15	689917
1348514	n/a      	24	690439
1363439	n/a      	4	698081
1364086	n/a      	14	698412
1365111	n/a      	26	698937
1377684	n/a      	6	705374
1378734	n/a      	16	705912
1379756	n/a      	25	706435
1393146	n/a      	5	713291
1393893	n/a      	15	713673
1399355	n/a      	23	716470
1411229	n/a      	3	722549
1411943	n/a      	13	722915
1412967	n/a      	23	723439
1426824	n/a      	3	730534
1427613	n/a      	13	730938
1428646	n/a      	25	731467
1440352	n/a      	5	737460
1440932	n/a      	15	737757
1441957	n/a      	24	738282
1453131	n/a      	4	744003
1453748	n/a      	14	744319
1463461	n/a      	26	749292
1476467	n/a      	6	755951
1477061	n/a      	16	756255
1478088	n/a      	23	756781
1489193	n/a      	3	762467
1489701	n/a      	13	762727
1490734	n/a      	26	763256
1504639	n/a      	6	770375
1505141	n/a      	16	770632
1506162	n/a      	24	771155
1520568	n/a      	4	778531
1521043	n/a      	14	778774
1522076	n/a      	25	779303
1535049	n/a      	5	785945
1535523	n/a      	15	786188
1536555	n/a      	23	786716
1547908	n/a      	999	792529
1549316	n/a      	2	793250
1555168	n/a      	25	796246
1569227	n/a      	5	803444
1569746	n/a      	15	803710
1570781	n/a      	26	804240
1584105	n/a      	999	811062
1584516	n/a      	2	811272
1588914	n/a      	23	813524
1602119	n/a      	3	820285
1602555	n/a      	13	820508
1603574	n/a      	25	821030
1615863	n/a      	5	827322
1616529	n/a      	15	827663
1617553	n/a      	23	828187
1630594	n/a      	3	834864
1631154	n/a      	13	835151
1637688	n/a      	26	838496
1650594	n/a      	6	845104
1651586	n/a      	16	845612
1652615	n/a      	23	846139
1664338	n/a      	3	852141
1664842	n/a      	13	852399
1665875	n/a      	26	852928
1677432	n/a      	6	858845
1677881	n/a      	16	859075
1681688	n/a      	23	861024
1695496	n/a      	3	868094
1696025	n/a      	13	868365
1697051	n/a      	26	868890
1711477	n/a      	6	876276
1712049	n/a      	16	876569
1713078	n/a      	25	877096
